price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
310000.00;3.00;1.00;1430.00;19901.00;1.50;0.00;0.00;4.00;7.00;1430.00;0.00;1927.00;0.00;98028.00;477558.00;-122229.00;1780.00;12697.00
400000.00;3.00;1.75;1370.00;9680.00;1.00;0.00;0.00;4.00;7.00;1370.00;0.00;1977.00;0.00;98074.00;476127.00;-122045.00;1370.00;10208.00
530000.00;5.00;2.00;1810.00;4850.00;1.50;0.00;0.00;3.00;7.00;1810.00;0.00;1900.00;0.00;98107.00;47.67;-122394.00;1360.00;4850.00
650000.00;4.00;3.00;2950.00;5000.00;2.00;0.00;3.00;3.00;9.00;1980.00;970.00;1979.00;0.00;98126.00;475714.00;-122375.00;2140.00;4000.00
395000.00;3.00;2.00;1890.00;14040.00;2.00;0.00;0.00;3.00;7.00;1890.00;0.00;1994.00;0.00;98019.00;477277.00;-121962.00;1890.00;14018.00
485000.00;4.00;1.00;1600.00;4300.00;1.50;0.00;0.00;4.00;7.00;1600.00;0.00;1916.00;0.00;98103.00;476648.00;-122343.00;1610.00;4300.00
189000.00;2.00;1.00;1200.00;9850.00;1.00;0.00;0.00;4.00;7.00;1200.00;0.00;1921.00;0.00;98002.00;473089.00;-122.21;1060.00;5095.00
230000.00;3.00;1.00;1250.00;9774.00;1.00;0.00;0.00;4.00;7.00;1250.00;0.00;1969.00;0.00;98003.00;473343.00;-122306.00;1280.00;8850.00
385000.00;4.00;1.75;1620.00;4980.00;1.00;0.00;0.00;4.00;7.00;860.00;760.00;1947.00;0.00;98133.00;477025.00;-122341.00;1400.00;4980.00
2000000.00;3.00;2.75;3050.00;44867.00;1.00;0.00;4.00;3.00;9.00;2330.00;720.00;1968.00;0.00;98040.00;475316.00;-122233.00;4110.00;20336.00
285000.00;5.00;2.50;2270.00;6300.00;2.00;0.00;0.00;3.00;8.00;2270.00;0.00;1995.00;0.00;98092.00;473266.00;-122169.00;2240.00;7005.00
252700.00;2.00;1.50;1070.00;9643.00;1.00;0.00;0.00;3.00;7.00;1070.00;0.00;1985.00;0.00;98030.00;473533.00;-122166.00;1220.00;8386.00
329000.00;3.00;2.25;2450.00;6500.00;2.00;0.00;0.00;4.00;8.00;2450.00;0.00;1985.00;0.00;98030.00;473739.00;-122172.00;2200.00;6865.00
233000.00;3.00;2.00;1710.00;4697.00;1.50;0.00;0.00;5.00;6.00;1710.00;0.00;1941.00;0.00;98002.00;473048.00;-122218.00;1030.00;4705.00
937000.00;3.00;1.75;2450.00;2691.00;2.00;0.00;0.00;3.00;8.00;1750.00;700.00;1915.00;0.00;98119.00;476386.00;-122.36;1760.00;3573.00
667000.00;3.00;1.00;1400.00;1581.00;1.50;0.00;0.00;5.00;8.00;1400.00;0.00;1909.00;0.00;98112.00;476221.00;-122314.00;1860.00;3861.00
438000.00;3.00;1.75;1520.00;6380.00;1.00;0.00;0.00;3.00;7.00;790.00;730.00;1948.00;0.00;98115.00;47695.00;-122304.00;1520.00;6235.00
719000.00;4.00;2.50;2570.00;7173.00;2.00;0.00;0.00;3.00;8.00;2570.00;0.00;2005.00;0.00;98052.00;477073.00;-122.11;2630.00;6026.00
580500.00;3.00;2.50;2320.00;3980.00;2.00;0.00;0.00;3.00;8.00;2320.00;0.00;2003.00;0.00;98027.00;475391.00;-122.07;2580.00;3980.00
280000.00;2.00;1.50;1190.00;1265.00;3.00;0.00;0.00;3.00;7.00;1190.00;0.00;2005.00;0.00;98133.00;477274.00;-122357.00;1390.00;1756.00
687500.00;4.00;1.75;2330.00;5000.00;1.50;0.00;0.00;4.00;7.00;1510.00;820.00;1929.00;0.00;98117.00;476823.00;-122368.00;1460.00;5000.00
535000.00;3.00;1.00;1090.00;3000.00;1.50;0.00;0.00;4.00;8.00;1090.00;0.00;1929.00;0.00;98117.00;476889.00;-122375.00;1570.00;5080.00
322500.00;4.00;2.75;2060.00;6659.00;1.00;0.00;0.00;3.00;7.00;1280.00;780.00;1981.00;0.00;98058.00;474276.00;-122157.00;2020.00;8720.00
696000.00;3.00;2.50;2300.00;3060.00;1.50;0.00;0.00;3.00;8.00;1510.00;790.00;1930.00;2002.00;98115.00;476827.00;-122.31;1590.00;3264.00
550000.00;4.00;1.00;1660.00;34848.00;1.00;0.00;0.00;1.00;5.00;930.00;730.00;1933.00;0.00;98052.00;476621.00;-122132.00;2160.00;11467.00
640000.00;4.00;2.00;2360.00;6000.00;2.00;0.00;0.00;4.00;8.00;2360.00;0.00;1904.00;0.00;98107.00;476702.00;-122362.00;1730.00;4700.00
240000.00;4.00;1.00;1220.00;8075.00;1.00;0.00;0.00;2.00;7.00;890.00;330.00;1969.00;0.00;98001.00;473341.00;-122282.00;1290.00;7800.00
605000.00;4.00;2.50;2620.00;7553.00;2.00;0.00;0.00;3.00;8.00;2620.00;0.00;1996.00;0.00;98056.00;475301.00;-122.18;2620.00;11884.00
625000.00;4.00;2.50;2570.00;5520.00;2.00;0.00;0.00;3.00;9.00;2570.00;0.00;2000.00;0.00;98074.00;476145.00;-122027.00;2470.00;5669.00
775000.00;4.00;2.25;4220.00;24186.00;1.00;0.00;0.00;3.00;8.00;2600.00;1620.00;1984.00;0.00;98166.00;47445.00;-122347.00;2410.00;30617.00
861990.00;5.00;2.75;3595.00;5639.00;2.00;0.00;0.00;3.00;9.00;3595.00;0.00;2014.00;0.00;98053.00;476848.00;-122016.00;3625.00;5639.00
685000.00;3.00;1.00;1570.00;2280.00;2.00;0.00;0.00;3.00;7.00;1570.00;0.00;1922.00;0.00;98119.00;476413.00;-122364.00;1580.00;2640.00
309000.00;3.00;1.00;1280.00;9656.00;1.00;0.00;0.00;4.00;6.00;920.00;360.00;1959.00;0.00;98058.00;474485.00;-122175.00;1340.00;8808.00
488000.00;3.00;2.50;3160.00;13603.00;2.00;0.00;0.00;3.00;8.00;3160.00;0.00;2003.00;0.00;98019.00;477443.00;-121977.00;3050.00;9232.00
210490.00;3.00;1.00;990.00;8528.00;1.00;0.00;0.00;3.00;6.00;990.00;0.00;1966.00;0.00;98023.00;473066.00;-122371.00;1228.00;8840.00
785000.00;4.00;2.50;2290.00;13416.00;2.00;0.00;0.00;4.00;9.00;2290.00;0.00;1981.00;0.00;98007.00;476194.00;-122151.00;2680.00;13685.00
450000.00;3.00;1.75;1250.00;5963.00;1.00;0.00;0.00;4.00;7.00;1250.00;0.00;1953.00;0.00;98115.00;476796.00;-122301.00;970.00;5100.00
1350000.00;3.00;2.50;2753.00;65005.00;1.00;1.00;2.00;5.00;9.00;2165.00;588.00;1953.00;0.00;98070.00;474041.00;-122451.00;2680.00;72513.00
228000.00;3.00;1.00;1190.00;9199.00;1.00;0.00;0.00;3.00;7.00;1190.00;0.00;1955.00;0.00;98148.00;474258.00;-122322.00;1190.00;9364.00
345000.00;5.00;2.50;3150.00;9134.00;1.00;0.00;0.00;4.00;8.00;1640.00;1510.00;1966.00;0.00;98056.00;474934.00;-122189.00;1990.00;9133.00
600000.00;3.00;1.75;1410.00;4080.00;1.00;0.00;0.00;4.00;7.00;1000.00;410.00;1950.00;0.00;98117.00;476808.00;-122384.00;1410.00;4080.00
585000.00;2.00;1.75;1980.00;8550.00;1.00;0.00;0.00;3.00;7.00;990.00;990.00;1981.00;0.00;98117.00;476989.00;-122369.00;1480.00;6738.00
920000.00;5.00;2.25;2730.00;6000.00;1.50;0.00;0.00;3.00;8.00;2130.00;600.00;1927.00;0.00;98105.00;476571.00;-122281.00;2730.00;6000.00
885000.00;4.00;2.50;2830.00;5000.00;2.00;0.00;0.00;3.00;9.00;2830.00;0.00;1995.00;0.00;98105.00;476597.00;-122.29;1950.00;5000.00
292500.00;4.00;2.50;2250.00;4495.00;2.00;0.00;0.00;3.00;7.00;2250.00;0.00;2008.00;0.00;98042.00;473663.00;-122114.00;2250.00;4500.00
301000.00;3.00;2.50;2420.00;4750.00;2.00;0.00;0.00;3.00;8.00;2420.00;0.00;2003.00;0.00;98042.00;473663.00;-122122.00;2690.00;4750.00
951000.00;5.00;3.25;3250.00;14342.00;2.00;0.00;4.00;4.00;8.00;3250.00;0.00;1968.00;0.00;98008.00;47588.00;-122116.00;2960.00;11044.00
430000.00;4.00;3.00;1850.00;9976.00;2.00;0.00;0.00;3.00;8.00;1850.00;0.00;1991.00;0.00;98059.00;475059.00;-122149.00;2270.00;8542.00
650000.00;3.00;2.25;2150.00;21235.00;1.00;0.00;3.00;4.00;8.00;1590.00;560.00;1959.00;0.00;98166.00;474336.00;-122339.00;2570.00;18900.00
289000.00;3.00;1.75;1260.00;8400.00;1.00;0.00;0.00;3.00;7.00;1260.00;0.00;1954.00;0.00;98148.00;474366.00;-122335.00;1290.00;8750.00
505000.00;3.00;1.75;2519.00;8690.00;2.00;0.00;0.00;5.00;8.00;2519.00;0.00;1973.00;0.00;98166.00;474428.00;-122344.00;2500.00;9500.00
549000.00;3.00;1.75;1540.00;1044.00;3.00;0.00;0.00;3.00;8.00;1540.00;0.00;2014.00;0.00;98115.00;476765.00;-122.32;1580.00;3090.00
425000.00;3.00;2.25;1660.00;6000.00;1.00;0.00;0.00;3.00;7.00;1110.00;550.00;1979.00;0.00;98122.00;476113.00;-122297.00;1440.00;4080.00
317625.00;3.00;2.75;2770.00;3809.00;1.50;0.00;0.00;5.00;7.00;1770.00;1000.00;1925.00;0.00;98144.00;475747.00;-122304.00;1440.00;4000.00
975000.00;4.00;2.50;2720.00;11049.00;2.00;0.00;0.00;3.00;10.00;2720.00;0.00;1989.00;0.00;98004.00;475815.00;-122192.00;2750.00;11049.00
287000.00;4.00;2.50;2240.00;4648.00;2.00;0.00;0.00;3.00;7.00;2240.00;0.00;2005.00;0.00;98001.00;473378.00;-122257.00;2221.00;4557.00
204000.00;3.00;1.00;1000.00;12070.00;1.00;0.00;0.00;4.00;7.00;1000.00;0.00;1968.00;0.00;98042.00;473621.00;-122.11;1010.00;12635.00
1325000000.00;5.00;2.25;3200.00;20158.00;1.00;0.00;0.00;3.00;8.00;1600.00;1600.00;1965.00;0.00;98004.00;476303.00;-122215.00;3390.00;20158.00
1040000.00;5.00;3.25;4770.00;50094.00;1.00;0.00;0.00;4.00;11.00;3070.00;1700.00;1973.00;0.00;98005.00;476525.00;-122.16;3530.00;38917.00
325000.00;3.00;2.00;1260.00;5612.00;1.00;0.00;0.00;4.00;7.00;1260.00;0.00;1972.00;0.00;98034.00;477362.00;-122179.00;1640.00;4745.00
571000.00;4.00;2.00;2750.00;7807.00;1.50;0.00;0.00;5.00;7.00;2250.00;500.00;1916.00;0.00;98125.00;477168.00;-122287.00;1510.00;7807.00
360000.00;4.00;2.50;2380.00;5000.00;2.00;0.00;0.00;3.00;8.00;2380.00;0.00;2005.00;0.00;98038.00;473608.00;-122036.00;2420.00;5000.00
349000.00;3.00;1.75;1790.00;50529.00;1.00;0.00;0.00;5.00;7.00;1090.00;700.00;1965.00;0.00;98042.00;473511.00;-122073.00;1940.00;50529.00
832500.00;4.00;4.00;3430.00;35102.00;2.00;0.00;0.00;4.00;10.00;2390.00;1040.00;1986.00;0.00;98075.00;475822.00;-121987.00;3240.00;35020.00
380000.00;4.00;1.75;1760.00;7300.00;1.00;0.00;0.00;3.00;7.00;880.00;880.00;1956.00;0.00;98008.00;476034.00;-122125.00;1680.00;7500.00
480000.00;3.00;1.00;1040.00;5060.00;1.00;0.00;0.00;3.00;7.00;1040.00;0.00;1941.00;0.00;98116.00;475636.00;-122394.00;890.00;5060.00
410000.00;3.00;1.00;1410.00;5060.00;1.00;0.00;0.00;4.00;7.00;910.00;500.00;1956.00;0.00;98133.00;477073.00;-122.34;1130.00;5693.00
720000.00;4.00;2.50;3450.00;39683.00;2.00;0.00;0.00;3.00;10.00;3450.00;0.00;2002.00;0.00;98010.00;47342.00;-122025.00;3350.00;39750.00
390000.00;3.00;2.50;2350.00;5100.00;2.00;0.00;0.00;3.00;8.00;2350.00;0.00;2003.00;0.00;98038.00;473512.00;-122008.00;2350.00;5363.00
360000.00;4.00;2.50;1900.00;5889.00;2.00;0.00;0.00;3.00;7.00;1900.00;0.00;1992.00;0.00;98038.00;47349.00;-122031.00;1870.00;6405.00
355000.00;2.00;1.00;2020.00;6720.00;1.00;0.00;0.00;3.00;7.00;1010.00;1010.00;1948.00;0.00;98118.00;475474.00;-122291.00;1720.00;6720.00
356000.00;3.00;1.50;1680.00;8712.00;1.00;0.00;0.00;3.00;8.00;1680.00;0.00;1964.00;0.00;98059.00;474811.00;-122149.00;1850.00;8797.00
315000.00;3.00;1.00;960.00;6634.00;1.00;0.00;0.00;3.00;6.00;960.00;0.00;1952.00;0.00;98125.00;477264.00;-122.31;1570.00;7203.00
940000.00;3.00;1.50;2140.00;3600.00;2.00;0.00;0.00;3.00;9.00;1900.00;240.00;1925.00;0.00;98119.00;476337.00;-122365.00;2020.00;4800.00
305000.00;5.00;2.25;2660.00;8400.00;1.50;0.00;0.00;5.00;7.00;2660.00;0.00;1961.00;0.00;98092.00;472909.00;-122189.00;1590.00;8165.00
461000.00;3.00;3.25;2770.00;6278.00;2.00;0.00;0.00;3.00;9.00;1980.00;790.00;2006.00;0.00;98056.00;475228.00;-122199.00;1900.00;7349.00
215000.00;2.00;2.25;1610.00;2040.00;2.00;0.00;0.00;4.00;7.00;1610.00;0.00;1979.00;0.00;98056.00;47518.00;-122194.00;1950.00;2025.00
335000.00;2.00;1.75;1030.00;1066.00;2.00;0.00;0.00;3.00;7.00;765.00;265.00;2006.00;0.00;98136.00;475394.00;-122387.00;1030.00;1106.00
243500.00;4.00;2.50;1980.00;7403.00;2.00;0.00;0.00;3.00;7.00;1980.00;0.00;1988.00;0.00;98023.00;472897.00;-122372.00;1980.00;7510.00
109988000000.00;5.00;2.75;3520.00;6353.00;2.00;0.00;0.00;4.00;10.00;3520.00;0.00;2001.00;0.00;98199.00;476506.00;-122391.00;2520.00;6250.00
153000.00;3.00;1.00;1200.00;10500.00;1.00;0.00;0.00;3.00;7.00;1200.00;0.00;1962.00;0.00;98023.00;47322.00;-122351.00;1350.00;10500.00
430000.00;3.00;1.50;1580.00;5000.00;1.00;0.00;0.00;3.00;8.00;1290.00;290.00;1939.00;0.00;98117.00;47687.00;-122386.00;1570.00;4500.00
700000.00;3.00;1.50;1580.00;5000.00;1.00;0.00;0.00;3.00;8.00;1290.00;290.00;1939.00;0.00;98117.00;47687.00;-122386.00;1570.00;4500.00
905000.00;4.00;2.50;3300.00;10250.00;1.00;0.00;0.00;3.00;7.00;2390.00;910.00;1946.00;1991.00;98040.00;475873.00;-122249.00;1950.00;6045.00
247500.00;3.00;1.75;1960.00;15681.00;1.00;0.00;0.00;3.00;7.00;1960.00;0.00;1967.00;0.00;98032.00;473576.00;-122277.00;1750.00;15616.00
199000.00;4.00;1.50;1160.00;6400.00;1.00;0.00;0.00;4.00;7.00;1160.00;0.00;1975.00;0.00;98023.00;473036.00;-122378.00;1160.00;6400.00
314000.00;3.00;1.75;1810.00;41800.00;1.00;0.00;0.00;5.00;7.00;1210.00;600.00;1980.00;0.00;98038.00;474109.00;-121958.00;1650.00;135036.00
437500.00;3.00;2.50;2320.00;36847.00;2.00;0.00;2.00;3.00;9.00;2320.00;0.00;1992.00;0.00;98045.00;474838.00;-121714.00;2550.00;35065.00
850830.00;3.00;2.50;2070.00;13241.00;1.50;0.00;0.00;5.00;9.00;1270.00;800.00;1910.00;0.00;98102.00;476415.00;-122315.00;2200.00;4500.00
555000.00;3.00;2.00;1980.00;3478.00;1.50;0.00;0.00;4.00;7.00;1440.00;540.00;1929.00;0.00;98117.00;476775.00;-122372.00;1610.00;3478.00
699950.00;3.00;2.25;2190.00;107593.00;2.00;0.00;0.00;4.00;8.00;2190.00;0.00;1983.00;0.00;98077.00;477731.00;-122.08;2570.00;47777.00
1088000000.00;3.00;2.50;2920.00;8113.00;2.00;0.00;0.00;3.00;8.00;2920.00;0.00;1950.00;2010.00;98004.00;475814.00;-122196.00;2370.00;8113.00
290000.00;3.00;1.00;1210.00;33919.00;1.00;0.00;0.00;3.00;7.00;1210.00;0.00;1954.00;0.00;98058.00;474375.00;-122184.00;1640.00;14910.00
375000.00;3.00;2.50;2340.00;10005.00;1.00;0.00;0.00;4.00;8.00;1460.00;880.00;1978.00;0.00;98058.00;474431.00;-122133.00;2250.00;8162.00
460000.00;3.00;1.00;1670.00;4005.00;1.50;0.00;0.00;4.00;7.00;1170.00;500.00;1939.00;0.00;98117.00;476878.00;-122.38;1240.00;4005.00
188500.00;2.00;1.75;1240.00;2493.00;1.00;0.00;0.00;4.00;8.00;1240.00;0.00;1985.00;0.00;98198.00;473813.00;-122322.00;1270.00;4966.00
680000.00;4.00;2.50;3140.00;28037.00;2.00;0.00;0.00;4.00;10.00;3140.00;0.00;1991.00;0.00;98077.00;477304.00;-122082.00;2990.00;35001.00
470000.00;5.00;1.75;2030.00;12342.00;2.00;0.00;0.00;4.00;7.00;2030.00;0.00;1942.00;0.00;98052.00;476417.00;-122109.00;2500.00;9433.00
597750.00;4.00;2.50;2310.00;9624.00;2.00;0.00;0.00;3.00;8.00;2310.00;0.00;1984.00;0.00;98027.00;475386.00;-122053.00;1940.00;9636.00
570000.00;3.00;1.75;1260.00;3328.00;1.00;0.00;0.00;5.00;6.00;700.00;560.00;1905.00;0.00;98103.00;476823.00;-122349.00;1380.00;3536.00
272500.00;3.00;1.75;1540.00;12600.00;1.00;0.00;0.00;4.00;7.00;1160.00;380.00;1980.00;0.00;98038.00;473624.00;-122031.00;1540.00;11656.00
329950.00;3.00;1.75;2080.00;5969.00;1.00;0.00;2.00;3.00;7.00;1080.00;1000.00;1971.00;0.00;98108.00;475474.00;-122295.00;2090.00;5500.00
480000.00;4.00;2.50;3230.00;16171.00;2.00;0.00;3.00;3.00;9.00;2520.00;710.00;2001.00;0.00;98001.00;473183.00;-122253.00;2640.00;8517.00
740500.00;3.00;3.50;4380.00;6350.00;2.00;0.00;0.00;3.00;8.00;2780.00;1600.00;1900.00;1999.00;98117.00;476981.00;-122368.00;1830.00;6350.00
518500.00;3.00;3.50;1590.00;1102.00;3.00;0.00;0.00;3.00;8.00;1590.00;0.00;2010.00;0.00;98103.00;476824.00;-122347.00;1620.00;3166.00
205425.00;2.00;1.00;880.00;6780.00;1.00;0.00;0.00;4.00;6.00;880.00;0.00;1945.00;0.00;98178.00;475009.00;-122248.00;1190.00;6780.00
171800.00;4.00;2.00;1570.00;9600.00;1.00;0.00;0.00;3.00;6.00;1570.00;0.00;1950.00;0.00;98168.00;474965.00;-122303.00;1880.00;9000.00
535000.00;4.00;1.00;1610.00;2982.00;1.50;0.00;0.00;4.00;7.00;1610.00;0.00;1925.00;0.00;98144.00;47587.00;-122294.00;1610.00;4040.00
660000.00;3.00;2.50;2400.00;6474.00;1.00;0.00;2.00;3.00;8.00;1560.00;840.00;1964.00;0.00;98177.00;477728.00;-122386.00;2340.00;10856.00
391500.00;3.00;2.00;1450.00;9132.00;1.00;0.00;0.00;3.00;7.00;1450.00;0.00;1987.00;0.00;98034.00;477288.00;-122226.00;1580.00;9104.00
395000.00;2.00;1.00;770.00;6000.00;1.00;0.00;0.00;3.00;6.00;770.00;0.00;1953.00;0.00;98117.00;476999.00;-122364.00;1710.00;6000.00
445000.00;4.00;1.75;2100.00;4400.00;1.50;0.00;0.00;5.00;7.00;1720.00;380.00;1924.00;0.00;98118.00;475299.00;-122266.00;1850.00;4400.00
770000.00;3.00;2.25;2910.00;10204.00;2.00;0.00;0.00;3.00;9.00;2910.00;0.00;1990.00;0.00;98052.00;476897.00;-122098.00;2700.00;13992.00
1450000.00;4.00;2.75;2750.00;17789.00;1.50;0.00;0.00;3.00;8.00;1980.00;770.00;1914.00;1992.00;98004.00;476141.00;-122212.00;3060.00;11275.00
445000.00;3.00;2.25;2100.00;8201.00;1.00;0.00;2.00;3.00;8.00;1620.00;480.00;1967.00;0.00;98178.00;475091.00;-122244.00;2660.00;8712.00
260000.00;4.00;2.25;2160.00;8811.00;1.00;0.00;0.00;3.00;8.00;1360.00;800.00;1978.00;0.00;98023.00;473129.00;-122.39;2090.00;8400.00
822500.00;5.00;3.50;2320.00;4960.00;2.00;0.00;0.00;5.00;7.00;1720.00;600.00;1926.00;0.00;98103.00;476763.00;-122352.00;1700.00;4960.00
430000.00;4.00;2.50;2070.00;4310.00;2.00;0.00;0.00;3.00;7.00;2070.00;0.00;2004.00;0.00;98065.00;475319.00;-121.85;1970.00;3748.00
212000.00;3.00;1.75;1060.00;7875.00;1.00;0.00;0.00;4.00;7.00;1060.00;0.00;1986.00;0.00;98092.00;472761.00;-122152.00;1420.00;7680.00
660500.00;4.00;2.25;2010.00;9603.00;1.00;0.00;0.00;3.00;8.00;1440.00;570.00;1986.00;0.00;98027.00;475343.00;-122054.00;2060.00;9793.00
784000.00;3.00;3.50;3950.00;111078.00;1.50;0.00;0.00;3.00;9.00;2460.00;1490.00;1989.00;0.00;98052.00;47697.00;-122072.00;2480.00;88500.00
453246.00;3.00;2.50;2010.00;2287.00;2.00;0.00;0.00;3.00;8.00;1390.00;620.00;2014.00;0.00;98029.00;475517.00;-121998.00;1690.00;1662.00
675000.00;4.00;3.50;2140.00;2278.00;3.00;0.00;0.00;3.00;9.00;2140.00;0.00;2005.00;0.00;98107.00;476734.00;-122.38;1540.00;2285.00
199000.00;3.00;1.75;1320.00;17390.00;1.00;0.00;0.00;4.00;7.00;1320.00;0.00;1956.00;0.00;98003.00;473257.00;-122296.00;1550.00;19265.00
220000.00;4.00;1.75;2020.00;7840.00;1.00;0.00;0.00;3.00;7.00;1010.00;1010.00;1968.00;0.00;98003.00;473309.00;-122299.00;1750.00;8140.00
452000.00;4.00;2.25;2590.00;10002.00;1.00;0.00;0.00;4.00;8.00;1340.00;1250.00;1968.00;0.00;98028.00;477689.00;-122266.00;1550.00;10436.00
382500.00;2.00;1.00;1190.00;4440.00;1.00;0.00;0.00;3.00;6.00;1190.00;0.00;1981.00;0.00;98125.00;477135.00;-122287.00;1060.00;5715.00
519950.00;3.00;2.25;1170.00;1249.00;3.00;0.00;0.00;3.00;8.00;1170.00;0.00;2014.00;0.00;98107.00;476722.00;-122381.00;1350.00;1310.00
665000.00;2.00;1.00;1110.00;3200.00;1.00;0.00;0.00;3.00;7.00;1110.00;0.00;1925.00;0.00;98119.00;476338.00;-122358.00;1170.00;3600.00
527700.00;5.00;2.50;2820.00;9375.00;1.00;0.00;0.00;4.00;8.00;1550.00;1270.00;1968.00;0.00;98006.00;475707.00;-122128.00;2820.00;9375.00
205000.00;3.00;1.00;1610.00;8579.00;1.00;0.00;0.00;4.00;7.00;1010.00;600.00;1962.00;0.00;98058.00;474563.00;-122171.00;1610.00;8579.00
420000.00;3.00;1.00;1060.00;8097.00;1.00;0.00;0.00;4.00;7.00;940.00;120.00;1923.00;0.00;98133.00;477144.00;-122351.00;1560.00;7940.00
500000.00;4.00;2.25;2030.00;8517.00;1.00;0.00;0.00;4.00;8.00;1380.00;650.00;1961.00;0.00;98006.00;475495.00;-122174.00;2230.00;8824.00
921500.00;4.00;2.50;3670.00;315374.00;2.00;0.00;0.00;4.00;9.00;3670.00;0.00;1994.00;0.00;98077.00;477421.00;-122026.00;2840.00;87991.00
890000.00;4.00;1.00;2550.00;4000.00;2.00;0.00;0.00;3.00;8.00;2370.00;180.00;1905.00;0.00;98109.00;476354.00;-122353.00;2200.00;4000.00
430000.00;2.00;2.50;2420.00;60984.00;2.00;0.00;0.00;3.00;7.00;2420.00;0.00;2007.00;0.00;98027.00;475262.00;-121943.00;1940.00;193842.00
258000.00;5.00;2.00;2260.00;12500.00;1.00;0.00;0.00;4.00;8.00;1130.00;1130.00;1960.00;0.00;98032.00;473887.00;-122286.00;1360.00;18000.00
511000.00;3.00;1.00;1430.00;3455.00;1.00;0.00;0.00;3.00;7.00;980.00;450.00;1947.00;0.00;98103.00;476873.00;-122336.00;1450.00;4599.00
532170.00;3.00;2.00;1360.00;3090.00;2.00;0.00;0.00;3.00;8.00;1360.00;0.00;1990.00;0.00;98103.00;476838.00;-122353.00;1500.00;3090.00
560000.00;3.00;1.00;1110.00;5000.00;1.50;0.00;0.00;3.00;7.00;1110.00;0.00;1947.00;0.00;98107.00;47655.00;-122359.00;1420.00;5000.00
282950.00;3.00;1.00;1250.00;8200.00;1.00;0.00;0.00;4.00;7.00;1250.00;0.00;1954.00;0.00;98003.00;473255.00;-122304.00;1680.00;8633.00
2250000.00;4.00;3.25;5180.00;19850.00;2.00;0.00;3.00;3.00;12.00;3540.00;1640.00;2006.00;0.00;98006.00;47562.00;-122162.00;3160.00;9750.00
350000.00;1.00;1.00;700.00;5100.00;1.00;0.00;0.00;3.00;7.00;700.00;0.00;1942.00;0.00;98115.00;47679.00;-122.30;1010.00;5100.00
215000.00;3.00;1.00;1180.00;7669.00;1.00;0.00;0.00;4.00;7.00;1180.00;0.00;1967.00;0.00;98058.00;474479.00;-122176.00;1190.00;7669.00
650000.00;5.00;3.50;3960.00;25245.00;2.00;0.00;0.00;3.00;9.00;2500.00;1460.00;1996.00;0.00;98056.00;47525.00;-122172.00;2640.00;13675.00
320000.00;4.00;2.75;2640.00;7500.00;1.00;0.00;0.00;3.00;8.00;1620.00;1020.00;1967.00;0.00;98023.00;473135.00;-122369.00;1980.00;7875.00
