squareMeters,numberOfRooms,floors,basement,attic,garage,GuestRoom,price
67753,72,78,7480,2068,929,6,6789580.5
1450,59,1,1285,8119,869,10,146181.8
82141,93,61,8785,6602,968,4,8225970.9
17868,73,35,1718,5498,710,2,1792308.3
71397,71,93,3477,5530,342,2,7145471.5
32623,35,14,4633,7551,126,8,3267852.3
23841,71,25,7590,5224,564,1,2390804
16495,94,6,2214,1464,929,7,1650711.1
39109,24,67,1642,2925,139,9,3917652.2
65151,81,3,3218,9119,849,4,6522781.1
61484,91,94,5486,3641,766,3,6154833.3
57160,15,43,4018,4871,836,2,5724102.2
13346,57,57,2525,545,809,8,1336414.1
27351,77,36,1150,3100,812,0,2738851.7
18466,50,60,2475,1376,568,5,1849227
45441,29,66,8121,2996,853,6,4552319.4
55933,15,97,7369,6739,686,6,5599976.1
81936,68,92,6393,9082,734,0,8198107.1
18237,70,74,7173,9144,498,9,1833338.1
35631,54,7,216,1339,775,10,3568002.8
99683,12,77,4034,2877,787,6,9977000.2
47664,44,77,2662,5433,417,6,4770073
62887,45,7,292,744,675,4,6293710.3
18470,20,73,4089,9245,905,6,1852115
36031,63,47,9701,1325,514,4,3612495.1
22776,84,5,2422,1918,544,7,2278599.3
14830,81,1,6151,1651,243,9,1487488.2
43944,40,69,7466,6556,735,6,4403326.2
73062,34,38,9823,7174,728,0,7313447.6
84284,76,39,4500,4877,480,6,8432554.8
9619,66,91,1069,3823,927,10,969806.1
11410,96,96,1466,3642,933,1,1150663.9
29855,63,23,3861,7495,204,6,2987645
46716,94,58,1361,6855,409,3,4674140.8
77046,69,85,8135,1401,648,3,7714235.2
58855,1,66,2267,3070,531,3,5892518.4
69165,66,74,1543,9736,939,9,6926290.9
57915,25,84,3394,4287,640,5,5800324.7
66279,47,9,5079,3156,128,10,6631365.3
16068,21,13,8893,2564,463,2,1611707.1
74325,50,58,4008,1952,275,5,7443433.4
35742,46,47,1732,6019,243,7,3581003.4
9026,51,28,779,9037,482,10,904797
16899,19,14,5710,907,302,7,1693690
99854,82,64,4827,2626,918,7,9989598.9
33743,56,29,7330,3012,345,6,3382812.6
72798,22,30,2209,2120,637,7,7290431.7
86492,21,86,7843,5348,463,0,8654049.2
38937,35,77,1312,1272,794,1,3901433.3
24762,22,62,5264,3986,502,1,2480900.9
91047,45,65,7241,1060,757,1,9109264.9
55527,64,44,9385,9507,786,9,5557814.5
70606,17,79,4927,1285,197,5,7070662.7
67327,47,87,1097,8551,964,10,6741466
6125,90,29,6423,7934,846,10,615143.2
71833,37,51,3772,2045,580,6,7185318.3
20811,98,71,112,53,586,3,2090690.5
7643,98,63,2142,7748,983,7,765618.9
16669,95,81,6109,1409,239,1,1676719.7
84006,73,97,9698,6310,837,4,8409827
34059,49,90,4138,5337,347,2,3412619.3
36131,95,88,1046,8463,331,8,3620939.1
8201,18,66,4949,5811,185,6,826967.7
38398,84,22,1618,9458,404,8,3842545.4
38833,10,14,1828,7626,462,8,3884619.4
41488,22,59,2090,4438,650,3,4151539.3
5205,2,15,8342,4705,742,0,521650.5
45066,28,62,7092,6757,924,0,4508367.3
63875,53,14,4139,7178,152,6,6394774.9
25052,88,94,718,6346,703,10,2515214
51457,64,32,3016,1891,633,4,5150600.6
84396,64,96,7416,6190,593,2,8449333.5
64920,98,63,2287,8181,426,6,6501809.6
9166,4,16,6838,9438,842,8,922847.5
85558,48,83,7997,655,374,0,8568781.7
87267,75,81,6899,1628,666,4,8731940.9
96091,100,24,6546,4094,373,6,9615021.9
38003,98,6,9981,6500,129,2,3803545.8
83120,97,68,15,4581,481,1,8318749.5
20468,100,34,9659,6233,802,0,2049846.3
75152,91,37,4717,5685,412,2,7518709.8
32688,9,18,9089,6967,398,7,3274057.3
45868,72,69,7668,9908,216,10,4600708.4
73900,69,36,9847,6227,140,4,7394635.8
16000,41,25,7228,764,138,6,1606948.7
1423,59,30,3900,1985,879,8,149234.3
29951,37,13,5692,9582,762,0,3002371.5
40231,84,41,5700,303,758,0,4030226.9
59517,38,69,6831,2741,727,6,5958698.3
98969,26,69,3744,5809,992,5,9902968.3
99177,49,41,6326,6738,429,3,9919217.1
89157,46,42,3510,781,290,4,8920282.9
67429,60,24,3578,3600,858,1,6749654.1
38431,57,60,4121,3307,374,8,3848467
72495,76,59,3413,2245,254,0,7259025.4
85362,77,19,7728,8516,186,4,8541211.7
28597,93,47,4492,270,714,8,2863386
13687,36,93,4148,6383,590,5,1376329.1
50479,3,73,4149,6785,188,5,5057657
98121,38,57,6028,8690,275,2,9817494.5
57736,16,21,6099,1511,588,2,5775940.9
30356,40,85,7660,774,551,8,3039209.2
21141,38,80,169,8853,697,10,2126023.8
98122,34,7,7125,7272,186,5,9813433.9
34746,12,15,2840,3137,377,4,3478332
17297,43,19,3216,5586,243,2,1738971.2
80324,47,7,325,3203,109,9,8039714.3
15815,13,2,637,7880,552,4,1585031.9
1066,5,46,2723,9228,524,5,114605.7
79275,95,67,3689,7215,132,3,7930383.5
20658,7,48,8080,9560,341,10,2076936.7
8687,88,64,7414,6075,710,3,877525.3
69638,42,63,4703,7032,937,6,6977654.1
94036,18,19,5913,178,986,10,9406163.1
60889,72,87,7437,4833,131,7,6091341.8
11680,21,14,7478,6846,921,6,1169431.2
11458,96,31,1365,3757,321,6,1154040
20397,67,79,705,4914,898,3,2042985.7
83206,34,51,9170,9694,327,9,8326302.9
8951,11,63,6189,2892,626,1,904889.7
22854,41,89,6216,521,481,0,2292467.1
46042,52,74,65,9506,946,5,4605791.5
93506,20,28,5297,1410,306,8,9356982.7
58748,76,40,1627,996,639,2,5875981
715,71,23,8609,3736,740,8,74252
55327,22,59,7163,9333,504,8,5540589.3
63631,84,12,239,1952,411,4,6369055
77915,99,21,1081,9015,448,4,7793915.8
91804,5,81,8554,1275,930,8,9182083.9
57295,95,69,9771,9634,951,7,5731510.4
61057,65,77,9762,545,369,6,6114671.8
91626,83,55,2684,784,101,8,9169068.1
29356,96,46,1780,393,413,3,2948071
27134,62,2,3718,9140,357,3,2715604.3
1682,65,79,2590,425,659,4,174918.7
98868,41,67,2146,1077,623,3,9892300.1
23898,62,93,8256,4656,136,1,2399286.6
83110,43,75,4108,5663,380,7,8321631.1
71154,67,53,8418,7187,706,8,7122699.1
90841,48,15,3333,149,842,9,9086177.3
68416,87,48,1811,6776,424,6,6846709
47585,95,5,5101,89,639,0,4759724.3
28452,79,40,388,1889,566,2,2850377.6
15630,78,4,7084,4158,225,0,1565985.6
65900,36,99,2637,1038,452,1,6605894.7
21600,94,56,3129,6029,236,3,2166421
74704,31,22,7463,8866,347,9,7472587.2
87291,78,42,6214,3127,596,2,8739254.7
96687,65,81,2438,8183,695,6,9673884.2
60567,65,100,7010,7994,993,0,6071330.9
4872,41,74,5851,1579,473,6,489455
9157,48,53,6401,6536,488,8,922102.9
65217,26,39,1374,3300,804,10,6531999.9
87346,56,82,5792,549,947,4,8743241
47701,26,46,5447,3025,610,3,4773352.1
14766,50,79,8031,383,643,4,1488265.1
94841,19,75,3157,986,585,6,9498026.8
59318,92,91,9413,9619,425,5,5939275.2
1796,28,4,8360,2070,142,4,180265.7
96526,36,34,2131,710,680,0,9661068
62876,36,9,338,8342,740,4,6288117.6
59558,43,89,9174,4094,712,5,5967916.2
97008,89,4,8321,5231,369,0,9703551.4
66746,6,10,1567,9732,378,3,6678869.7
25776,36,93,688,5948,954,10,2582235.2
96195,97,64,3874,9414,892,3,9626665.8
4805,47,99,2788,4069,839,0,486824.5
23045,21,75,651,4309,607,0,2312202
95441,70,65,2841,3067,404,3,9554998.7
28381,34,64,6737,1660,502,2,2847241.9
15731,34,37,7361,4828,277,5,1582940.3
18966,58,25,2327,7431,823,0,1902151.9
24393,46,16,4080,4764,619,2,2449464.9
53339,67,11,368,8180,312,3,5335546.3
44053,17,55,6586,382,258,3,4413295.4
70898,98,92,4848,784,942,3,7091863.4
84483,41,85,6052,369,651,6,8452134.9
35716,24,52,8821,9581,991,10,3574932.3
64693,64,81,7506,6802,687,7,6471378.3
32593,40,94,2261,9719,871,2,3265750.6
1607,63,52,2844,5531,878,7,173112
39484,74,30,3172,2821,172,9,3954971.1
32458,28,20,8462,890,523,7,3253846.5
72243,64,23,4431,8585,752,3,7229477.4
20624,44,83,318,6191,606,4,2070369.6
7443,38,41,3249,4423,503,1,748338.5
78382,41,14,8751,7515,985,6,7840062
70614,15,100,4845,8727,991,2,7075926
32235,59,10,7388,828,488,10,3225143.6
2523,12,67,150,473,949,1,260710.5
87864,55,77,7834,7083,745,9,8790481.9
18316,97,3,5804,2070,846,9,1832673.1
94471,30,79,1327,6342,285,3,9454072.1
60704,96,29,4505,9766,847,2,6080655.4
54020,4,64,8767,4062,882,4,5406334.3
59612,37,56,5616,5474,914,2,5967739.7
56467,63,41,2743,5018,815,0,5649094
65625,55,36,774,1091,958,10,6567597.5
41570,76,98,3573,3494,486,10,4167932.4
44862,99,68,9383,3076,631,3,4493882.2
47212,37,81,7210,5160,159,9,4734236.1
2840,17,26,6848,5362,294,10,288797.4
40465,85,100,6327,1053,403,0,4052600.4
17191,80,29,3192,2786,716,9,1728829.5
56480,85,80,8211,9476,532,1,5653048.6
70503,78,29,6819,4897,948,4,7051701.1
4885,100,54,9519,8043,718,6,493693.3
58263,65,57,7942,6968,786,3,5840294.6
47647,52,6,3220,9457,171,10,4768169.2
57916,51,24,3831,5615,356,1,5792783.8
6396,71,40,413,3302,682,9,643620.5
41972,18,49,842,820,846,0,4206464.5
94311,11,47,3619,128,868,7,9439790.7
10714,41,98,2598,1190,631,6,1075982.6
11259,26,82,902,3876,125,7,1134964
3534,16,13,5811,6473,900,0,359850.3
52680,10,79,5687,2005,242,0,5274696.1
62711,60,29,4484,5437,329,6,6272944.7
19268,12,77,1133,5202,357,3,1938014
36119,39,46,3958,3737,889,3,3620813.9
28394,53,7,63,8840,328,2,2840816.3
20392,33,84,1256,7011,171,2,2046763.7
7259,25,39,6482,2430,537,5,735079.4
28183,81,52,2798,5783,525,10,2821593.3
92188,14,95,61,7526,693,0,9227140.6
29815,28,77,3530,2821,663,0,2989048.5
50219,96,54,8051,8796,965,0,5025975.3
1722,56,84,6240,8680,497,2,182838.2
70399,14,85,8009,9856,255,4,7048784.3
28790,52,15,1238,5370,218,4,2883447.1
92962,7,37,6581,1046,315,3,9304587
34245,2,85,251,3567,918,5,3430728
54677,64,94,1236,3643,537,2,5477618.6
74227,84,5,4609,7857,378,5,7427853
94939,46,48,9164,9600,351,7,9503765.9
48884,58,32,311,1098,729,9,4895277
10638,39,33,3142,3829,138,10,1066200.6
90315,61,91,5604,3492,490,7,9044477.4
17633,28,83,1644,8999,162,2,1767487.3
63242,45,18,6932,5206,340,1,6327623.7
79344,46,42,8088,4938,744,7,7945562.1
72093,48,92,4805,7,148,9,7223902.5
13378,59,9,8171,5848,488,7,1342476.1
47019,35,9,2005,1643,694,6,4706162
34666,75,14,9405,9154,186,6,3477313.2
93509,28,62,72,9223,731,6,9361261.2
13583,42,32,4519,3442,911,10,1364589.5
19649,11,83,595,6282,795,2,1970018.9
141,16,58,3411,8985,213,4,22670.7
22821,64,14,2060,103,491,2,2289134.3
533,76,55,654,3585,301,9,65465.1
67020,71,38,3647,997,640,1,6711051.5
49094,30,49,4934,3570,625,8,4916616.1
25269,88,92,3464,5175,693,1,2530193.9
71989,41,77,7290,4027,337,4,7204744.3
73180,1,54,3340,452,784,10,7325717.1
18926,58,84,5353,4021,442,8,1908217.8
6492,76,88,2655,6299,372,9,652565.8
98045,4,8,9321,2416,570,0,9814193.2
51589,83,43,7867,7522,819,5,5167451.8
24390,75,44,7295,6840,235,1,2446317.2
75890,10,59,270,3676,744,8,7597786.1
29220,9,59,391,8842,706,0,2929116.4
72433,57,18,6995,8567,276,0,7250644.1
57467,98,64,661,9428,600,2,5749361.3
81482,76,9,2265,3606,281,6,8153070.7
61346,69,52,7427,5864,207,10,6141452.9
80915,23,67,5351,1864,569,0,8104297.2
65479,74,35,9347,1817,460,10,6552454
48302,22,13,9855,6297,543,1,4833604.7
76690,21,99,611,2112,181,8,7682267
14447,39,23,5371,9535,965,6,1448447.2
24213,31,93,1561,1228,653,5,2431969.4
1843,30,3,1313,9063,706,5,189919.7
78183,65,86,8682,588,748,4,7829898.7
99323,35,28,6346,6556,280,3,9939399.8
67491,21,57,1253,1592,254,0,6750826.7
2588,82,69,7247,9670,987,8,267798.6
76635,6,1,981,5857,949,1,7669791.9
45070,100,92,1333,989,885,0,4510977.7
62381,58,44,1809,2821,734,6,6243323.3
98543,2,44,2955,6151,661,7,9860222.2
13972,39,8,1477,3153,952,2,1397748.9
71567,70,94,5968,1718,985,4,7166917.2
36804,99,12,6951,6584,594,6,3681839.6
21297,71,14,8198,4951,111,4,2136801.5
9950,1,69,3156,6914,174,4,1000736.2
3661,50,24,6186,862,613,7,372556.7
88102,51,70,7245,6073,496,9,8821018.6
72596,91,90,9595,1266,156,0,7262781.5
70763,4,38,7098,5958,484,9,7082373.5
12002,58,41,1718,3877,867,1,1203664.5
26146,34,98,2060,7566,680,7,2627462.1
13716,62,98,5967,1070,911,10,1382883
23281,32,52,3681,3220,422,3,2339782
3824,45,9,3191,6677,305,0,386574.9
56086,3,46,2853,1194,863,1,5615576.1
19014,67,89,3330,8941,550,6,1912984.9
80808,59,1,3879,8229,434,5,8085990.4
83602,5,2,8993,8003,496,5,8365162.1
99767,27,79,520,7948,495,2,9985836.8
60675,32,51,5953,6958,260,6,6075733.2
20210,2,78,2811,9309,218,4,2029228.7
28694,82,20,3206,2352,310,3,2870499.1
45521,53,32,8643,2999,670,7,4554205.1
55727,46,77,5811,42,183,2,5574845.6
17307,20,66,2317,5409,692,2,1740869.6
86474,98,33,1928,4232,220,7,8649993.4
6012,53,38,392,2928,423,4,607323.3
6617,51,38,7115,5340,248,10,663333
34061,43,90,1616,6765,534,9,3407529.3
12881,12,68,8654,5066,920,0,1293712.6
48458,82,72,5447,7360,308,6,4851198.2
89618,49,36,4321,9355,752,0,8969519.6
10369,30,68,9629,7874,383,10,1044857.9
21865,24,79,2324,4385,932,3,2191960.3
30817,48,63,2444,9730,961,3,3086005.3
8808,85,37,9287,4979,416,5,888730.8
16006,69,26,3565,742,405,3,1610901
70517,37,1,9373,6035,184,5,7052408.2
55592,68,10,7719,4694,372,0,5564877.1
10978,17,55,9798,2127,481,6,1103882.5
94388,7,81,7739,1176,741,8,9446167.6
18041,90,99,1064,653,221,3,1817658.6
18220,91,97,2604,5842,838,2,1833031.3
39342,7,84,1003,2398,385,2,3946165.4
66570,59,2,2628,7837,754,6,6657976.8
34592,100,33,7356,2228,264,5,3465076.4
38700,25,26,5100,5564,956,8,3880396.6
32060,25,97,9618,9072,814,8,3211741.7
8305,86,83,1648,3165,766,4,838488.1
40080,50,82,5973,2871,484,0,4011225.8
89335,66,54,9808,4039,425,8,8938823.4
78546,92,84,978,3244,530,4,7864949.1
50066,63,67,8716,6542,465,1,5015729.8
37008,61,75,309,5249,463,7,3708694.3
32876,98,32,3289,8595,121,8,3299047.8
98266,14,42,6293,8164,1000,9,9838529
53665,66,81,1788,6553,204,8,5379979.2
33469,98,91,6871,4561,293,8,3362757.6
42578,49,23,6690,3789,964,6,4264812.3
64329,25,44,7313,2455,634,5,6436473.9
29512,96,26,6556,9398,170,9,2955396.2
241,78,50,4070,7336,962,7,29643.3
32709,47,80,2548,2351,162,5,3284181.6
29271,70,98,3470,5717,429,6,2938810.1
15542,19,27,563,6368,615,5,1556824.6
94951,52,80,4121,3981,261,3,9498811.4
12296,54,45,1449,8183,127,0,1233872.8
42390,17,96,7796,7032,462,0,4245306.1
2157,22,93,5209,2362,799,9,222104.1
70576,66,7,6411,6596,684,9,7061024.3
22232,24,52,135,1819,882,8,2230267.5
31368,78,86,6510,4644,682,0,3142605.7
2713,76,19,3827,3127,880,1,273858
40939,60,6,9386,4038,956,8,4097363.7
84892,59,46,271,6059,556,3,8492982.7
43332,60,24,9557,9617,321,4,4336691.2
39445,100,66,1391,4942,992,10,3947777
82032,78,64,6972,9105,883,8,8209534.4
813,45,15,4226,1272,633,7,84647.8
43432,44,34,2077,3329,377,6,4347238
80988,34,57,8135,7450,321,10,8104253.5
99444,68,60,5643,4783,834,5,9947284.1
37618,57,45,3892,7379,638,9,3766350.8
63973,18,78,6770,339,937,10,6405935.2
99107,54,65,5522,7622,194,3,9916550.8
71519,12,80,9982,6232,800,2,7156303.2
91841,77,14,8782,3254,955,0,9185367.1
28467,98,70,4314,9569,658,10,2855561.9
77075,52,11,1768,9928,430,4,7713855.2
91776,26,72,1303,4952,712,4,9184100.1
69948,45,59,5632,6000,301,3,7006951.7
68593,3,65,5603,9225,540,7,6867934.1
56774,50,23,5989,186,469,3,5682955.5
84577,63,64,9411,4095,400,0,8467175.1
78835,77,84,1071,6437,771,1,7887862.2
59073,82,38,8036,9658,303,2,5909662.3
6704,83,59,7171,3023,822,1,682123.2
20968,48,6,3747,1117,656,6,2100783.2
64244,20,82,5461,798,426,6,6435074.1
54133,1,89,2192,4801,195,2,5426671.3
90842,60,25,3501,8720,152,5,9092168.5
51780,83,88,540,4699,879,4,5184160.1
38722,91,22,4316,6127,738,2,3876450.8
51127,85,66,391,4578,127,5,5119947.6
31802,100,80,3049,6665,476,10,3184469
26770,8,69,6924,6367,940,2,2687139.6
63839,58,2,6200,882,302,6,6389327.9
56181,76,98,4581,8060,953,7,5630006.6
91757,82,78,5258,1106,628,6,9182239.2
54200,51,43,9853,858,869,3,5423195
29788,61,68,6551,5740,782,1,2983377.1
29180,7,1,3218,2990,753,10,2923248.9
30630,62,65,2190,295,965,4,3072463.6
81114,23,89,1629,8207,813,9,8118084.7
96016,48,35,269,1613,300,1,9605401.8
8977,53,62,5865,7112,250,5,905963.4
92508,60,88,1551,4343,271,4,9257332.6
38804,18,45,5441,2726,925,1,3885083
34830,92,85,3930,3923,833,2,3488181.3
48540,42,27,5751,8410,489,4,4856286.6
25680,51,11,8681,5729,829,2,2573981.9
73224,66,74,7771,4695,941,3,7330502.1
29589,45,76,3703,2398,130,1,2973362.6
96469,21,13,7532,2509,416,8,9651382.4
35039,19,22,2052,9163,979,3,3511457.4
99592,47,61,9635,3509,360,3,9963329.7
70433,41,1,3499,6731,160,4,7045037.8
73644,18,7,4485,5615,345,4,7365392.8
77211,47,84,5620,7860,554,4,7725844.6
36429,8,29,9275,4841,152,0,3651244.9
90334,44,6,2390,828,413,4,9037622
51993,59,33,7531,6585,891,6,5208507.3
44476,27,13,9906,3023,101,2,4450503.3
31661,52,18,7968,5941,249,8,3168722
68275,93,54,3586,6606,104,6,6833270
85429,60,57,1421,6473,405,8,8553293.6
90162,71,27,2569,2826,909,1,9023922.2
81619,82,70,1562,6165,478,10,8173020.4
65324,7,8,9016,2528,549,7,6538401.9
4368,85,29,4055,1482,713,6,443641.1
24525,35,73,154,530,445,6,2461959.9
20949,5,22,3137,6117,747,10,2102983.3
23609,14,68,6808,1942,468,3,2364571.7
68084,35,8,9896,7245,158,9,6809686.9
73406,72,75,6128,116,915,2,7351988.7
50638,65,54,4071,2714,916,6,5068736.6
5457,32,12,4286,3897,215,2,547357.2
73337,30,5,9487,5697,949,5,7337758.5
95339,87,15,4878,4810,142,3,9535650.3
63237,8,49,6344,7812,197,5,6330589.9
30831,27,13,173,6677,966,8,3084723.8
57897,21,96,3678,5344,910,6,5801637.3
87418,73,7,8759,196,203,10,8743030.5
20640,17,91,5011,9512,736,0,2073310.5
35634,77,50,8120,9651,462,1,3568972.8
87156,49,44,5224,968,798,9,8722474.9
80556,1,54,9757,6059,650,7,8062244.1
70942,36,28,7964,2118,265,3,7102693.9
38688,76,80,5616,6072,155,2,3877141.2
83937,30,85,7175,6014,933,1,8396191.2
92655,54,77,4932,4411,765,4,9267281.6
35110,28,84,9928,699,439,0,3526172.5
61208,51,39,4494,71,112,10,6126371.1
47781,49,37,6426,3436,993,4,4779776.3
23737,25,11,4514,5604,997,0,2380599.3
83460,34,69,3231,1741,841,10,8347291.7
55736,64,47,5234,5172,672,2,5582770.7
15429,27,46,1436,7852,164,0,1550188.1
74290,38,8,6893,6800,624,10,7433059.6
85256,68,45,2638,7455,403,0,8530096.9
9380,11,97,691,8302,754,1,945451.3
13414,59,16,6223,571,477,5,1350225.4
91716,7,97,9715,8665,352,4,9184104.6
95828,54,62,1745,5190,269,4,9589468.4
98478,7,19,3514,3090,867,2,9852730.7
70874,99,51,6049,3511,428,2,7097321.1
78217,78,73,7391,1085,907,2,7828401.3
81101,65,87,5698,1807,233,4,8118370.7
46883,49,53,9286,4266,845,3,4691844.9
69319,38,89,1787,1635,731,8,6936067.9
95288,45,80,3179,1201,520,2,9543817
50589,75,52,3824,8806,185,9,5061508.8
65155,69,46,4546,1801,654,3,6521547.4
6049,99,37,3872,4019,944,8,608869
25386,30,35,5449,3239,343,8,2543209.1
1270,53,66,6093,4476,618,6,131117.1
88561,37,49,4582,9155,726,1,8860454.4
71676,13,49,1318,544,283,6,7178514.9
82016,15,93,839,3501,680,9,8211272.4
21698,75,59,518,7075,331,2,2179801.1
476,14,52,6630,6204,880,6,57103.9
16114,98,25,3474,1546,460,1,1620468
55707,7,33,9279,1236,417,3,5573001.4
53633,48,43,6352,4931,774,6,5370339
29578,2,5,9253,949,489,9,2959100.3
51757,95,23,9496,8665,943,6,5178222.9
80386,41,4,9196,7861,521,3,8045146.4
60136,32,54,8341,4965,152,4,6020434.5
15850,99,96,5326,8976,501,1,1596900
29362,2,44,1979,5794,424,9,2940727
60366,51,26,8647,6470,687,2,6042370.5
9167,32,69,6444,8319,219,7,923577.4
18586,93,16,7588,3667,324,8,1862622.7
69443,27,30,7624,1278,294,1,6947198.3
21015,37,97,2865,4679,527,9,2107213.3
79337,83,70,9559,9783,918,5,7940161.6
84947,54,68,1588,6315,675,1,8498951.4
99665,16,52,136,5779,392,9,9976093
25493,31,97,6999,2669,187,3,2555724.7
50580,57,76,1593,7912,678,1,5072667.8
71040,40,49,6467,6178,644,6,7110801.5
63320,3,3,4182,5340,126,8,6338701.3
50465,68,62,3513,3635,401,3,5051447.4
65919,40,82,8500,2426,707,1,6596228.3
76489,43,27,2458,5949,601,8,7655928.2
50093,89,5,6873,7662,536,10,5013597.9
50118,80,76,7483,8194,687,0,5016630.8
25309,28,53,923,821,358,9,2535294.2
98191,17,77,6782,4950,660,4,9828436
1607,10,46,8175,3264,923,9,167249.4
4410,37,37,9410,5772,326,7,444238.4
2374,41,85,6959,1546,804,5,249562.8
94990,23,47,2531,8669,725,9,9504433.8
18281,9,76,9815,140,343,4,1840231.6
64879,80,12,5685,6810,914,1,6491104.1
54812,88,27,8509,8693,823,7,5482093
605,29,66,2938,7209,656,2,71250.5
27253,19,81,9476,7523,464,1,2736783
17357,42,20,5688,9409,221,4,1738079.8
54097,26,98,6986,8792,181,5,5416865.6
95281,22,8,5252,4489,537,1,9533000
69440,90,76,3678,1227,520,2,6950509.4
44395,1,1,8789,9504,685,3,4443692.2
48270,60,85,6828,3382,935,6,4838349
30572,24,56,171,2208,401,2,3058110.8
63719,35,25,2342,121,794,0,6375632.2
