price;speed;hd;ram;screen;ads;trend
2190.00;33.00;210.00;4.00;14.00;94.00;1.00
2199.00;33.00;212.00;8.00;14.00;94.00;1.00
2125.00;50.00;130.00;4.00;14.00;94.00;1.00
2045.00;66.00;130.00;4.00;14.00;94.00;1.00
3075.00;66.00;210.00;4.00;17.00;94.00;1.00
2945.00;66.00;210.00;8.00;17.00;94.00;1.00
1945.00;50.00;130.00;4.00;14.00;94.00;1.00
3990.00;66.00;330.00;8.00;15.00;94.00;1.00
1795.00;33.00;170.00;4.00;15.00;94.00;1.00
2495.00;33.00;250.00;8.00;15.00;94.00;1.00
2220.00;33.00;250.00;4.00;14.00;94.00;1.00
2195.00;66.00;85.00;2.00;14.00;94.00;1.00
1495.00;25.00;170.00;4.00;14.00;94.00;1.00
2325.00;66.00;130.00;4.00;14.00;94.00;1.00
1499.00;25.00;120.00;4.00;14.00;94.00;1.00
2199.00;33.00;212.00;4.00;14.00;94.00;1.00
3095.00;66.00;245.00;8.00;14.00;94.00;1.00
4020.00;66.00;500.00;8.00;14.00;94.00;1.00
2725.00;33.00;210.00;4.00;17.00;94.00;1.00
1695.00;33.00;170.00;4.00;14.00;94.00;1.00
3044.00;50.00;245.00;8.00;14.00;94.00;1.00
2999.00;50.00;170.00;4.00;14.00;94.00;1.00
2844.00;33.00;245.00;8.00;14.00;94.00;1.00
1975.00;33.00;210.00;8.00;14.00;94.00;1.00
3220.00;66.00;340.00;8.00;15.00;94.00;1.00
2595.00;50.00;130.00;4.00;14.00;94.00;1.00
1629.00;25.00;80.00;8.00;14.00;94.00;1.00
3399.00;66.00;230.00;4.00;15.00;94.00;1.00
2495.00;33.00;245.00;8.00;14.00;94.00;1.00
2990.00;66.00;210.00;8.00;15.00;94.00;1.00
2720.00;33.00;250.00;8.00;15.00;94.00;1.00
2595.00;25.00;245.00;8.00;14.00;94.00;1.00
1999.00;33.00;120.00;8.00;14.00;94.00;1.00
2075.00;33.00;210.00;8.00;14.00;94.00;1.00
1795.00;33.00;130.00;4.00;14.00;94.00;1.00
1395.00;25.00;85.00;2.00;14.00;94.00;1.00
3490.00;50.00;330.00;8.00;14.00;94.00;1.00
2975.00;50.00;210.00;4.00;17.00;94.00;1.00
2145.00;66.00;130.00;4.00;14.00;94.00;1.00
2420.00;33.00;170.00;8.00;15.00;94.00;1.00
2505.00;50.00;210.00;8.00;14.00;94.00;1.00
2995.00;66.00;340.00;16.00;14.00;95.00;2.00
1495.00;25.00;170.00;4.00;14.00;95.00;2.00
1999.00;33.00;170.00;4.00;14.00;95.00;2.00
1920.00;33.00;170.00;4.00;14.00;95.00;2.00
2595.00;25.00;340.00;16.00;14.00;95.00;2.00
1695.00;33.00;170.00;4.00;14.00;95.00;2.00
1995.00;33.00;250.00;4.00;14.00;95.00;2.00
2195.00;25.00;245.00;8.00;14.00;95.00;2.00
1795.00;66.00;85.00;2.00;14.00;95.00;2.00
2999.00;66.00;330.00;4.00;15.00;95.00;2.00
1395.00;25.00;85.00;2.00;14.00;95.00;2.00
2995.00;66.00;250.00;8.00;17.00;95.00;2.00
2699.00;50.00;212.00;8.00;14.00;95.00;2.00
1720.00;25.00;170.00;4.00;14.00;95.00;2.00
2045.00;66.00;170.00;4.00;14.00;95.00;2.00
2145.00;66.00;170.00;4.00;14.00;95.00;2.00
2995.00;66.00;340.00;8.00;15.00;95.00;2.00
2095.00;33.00;130.00;4.00;14.00;95.00;2.00
3895.00;50.00;452.00;8.00;14.00;95.00;2.00
2895.00;50.00;340.00;16.00;14.00;95.00;2.00
1499.00;25.00;170.00;4.00;14.00;95.00;2.00
3165.00;66.00;250.00;4.00;17.00;95.00;2.00
2525.00;50.00;250.00;4.00;15.00;95.00;2.00
2325.00;66.00;250.00;8.00;14.00;95.00;2.00
2499.00;33.00;170.00;4.00;14.00;95.00;2.00
2799.00;33.00;230.00;4.00;14.00;95.00;2.00
1795.00;33.00;170.00;4.00;14.00;95.00;2.00
2199.00;33.00;210.00;4.00;14.00;95.00;2.00
2355.00;50.00;250.00;8.00;14.00;95.00;2.00
3220.00;66.00;340.00;8.00;15.00;95.00;2.00
2420.00;33.00;170.00;8.00;15.00;95.00;2.00
2544.00;33.00;245.00;8.00;14.00;95.00;2.00
2945.00;50.00;250.00;4.00;17.00;95.00;2.00
2295.00;33.00;245.00;8.00;14.00;95.00;2.00
1495.00;33.00;85.00;2.00;14.00;95.00;2.00
2065.00;50.00;170.00;4.00;14.00;95.00;2.00
2295.00;66.00;130.00;4.00;14.00;95.00;2.00
1799.00;25.00;170.00;4.00;14.00;95.00;2.00
2220.00;33.00;250.00;4.00;14.00;95.00;2.00
2075.00;50.00;170.00;4.00;14.00;95.00;2.00
1749.00;25.00;120.00;4.00;14.00;95.00;2.00
2195.00;25.00;245.00;8.00;14.00;95.00;2.00
2255.00;50.00;250.00;8.00;14.00;95.00;2.00
2395.00;33.00;250.00;4.00;15.00;95.00;2.00
2720.00;33.00;250.00;8.00;15.00;95.00;2.00
2195.00;50.00;130.00;4.00;14.00;95.00;2.00
2225.00;33.00;250.00;8.00;14.00;95.00;2.00
4020.00;66.00;500.00;8.00;14.00;95.00;2.00
2475.00;50.00;250.00;8.00;14.00;95.00;2.00
1975.00;50.00;170.00;4.00;14.00;95.00;2.00
3995.00;66.00;452.00;8.00;14.00;95.00;2.00
2595.00;66.00;245.00;8.00;14.00;95.00;2.00
2295.00;66.00;170.00;4.00;14.00;95.00;2.00
2199.00;33.00;212.00;4.00;14.00;95.00;2.00
1975.00;33.00;250.00;8.00;14.00;95.00;2.00
3895.00;66.00;500.00;8.00;15.00;95.00;2.00
2095.00;33.00;250.00;4.00;15.00;95.00;2.00
2225.00;33.00;250.00;8.00;15.00;95.00;2.00
3599.00;66.00;330.00;8.00;14.00;95.00;2.00
2075.00;33.00;250.00;8.00;14.00;95.00;2.00
2499.00;33.00;212.00;8.00;14.00;95.00;2.00
2575.00;66.00;250.00;8.00;15.00;95.00;2.00
2999.00;50.00;170.00;4.00;14.00;95.00;2.00
2195.00;33.00;170.00;8.00;15.00;95.00;2.00
3065.00;50.00;250.00;4.00;17.00;95.00;2.00
3399.00;66.00;230.00;4.00;15.00;95.00;2.00
1995.00;33.00;130.00;4.00;14.00;95.00;2.00
1595.00;25.00;170.00;4.00;15.00;95.00;2.00
2645.00;50.00;250.00;4.00;15.00;95.00;2.00
2345.00;50.00;250.00;8.00;14.00;95.00;2.00
2795.00;33.00;340.00;16.00;14.00;95.00;2.00
1895.00;25.00;130.00;4.00;14.00;95.00;2.00
2495.00;50.00;245.00;8.00;14.00;95.00;2.00
2599.00;50.00;210.00;4.00;14.00;95.00;2.00
1595.00;33.00;85.00;2.00;14.00;95.00;2.00
1999.00;33.00;120.00;8.00;14.00;95.00;2.00
2425.00;66.00;250.00;8.00;14.00;95.00;2.00
2495.00;33.00;250.00;8.00;15.00;95.00;2.00
1795.00;33.00;170.00;4.00;15.00;95.00;2.00
2744.00;66.00;245.00;8.00;14.00;95.00;2.00
3795.00;33.00;452.00;8.00;14.00;95.00;2.00
2745.00;66.00;250.00;4.00;15.00;95.00;2.00
2399.00;50.00;212.00;4.00;14.00;95.00;2.00
2645.00;33.00;250.00;8.00;17.00;95.00;2.00
1945.00;33.00;170.00;4.00;14.00;95.00;2.00
1695.00;50.00;85.00;2.00;14.00;95.00;2.00
2195.00;50.00;170.00;4.00;14.00;95.00;2.00
2815.00;33.00;250.00;4.00;17.00;95.00;2.00
1899.00;25.00;120.00;4.00;14.00;95.00;2.00
2644.00;50.00;245.00;8.00;14.00;95.00;2.00
3795.00;66.00;500.00;8.00;14.00;95.00;2.00
2395.00;33.00;245.00;8.00;14.00;95.00;2.00
1695.00;33.00;170.00;4.00;14.00;95.00;2.00
2575.00;66.00;250.00;8.00;14.00;95.00;2.00
2695.00;33.00;340.00;16.00;14.00;95.00;2.00
2999.00;66.00;245.00;16.00;15.00;100.00;3.00
1899.00;33.00;170.00;4.00;14.00;100.00;3.00
2499.00;50.00;210.00;4.00;14.00;100.00;3.00
1999.00;33.00;213.00;8.00;14.00;100.00;3.00
2055.00;50.00;170.00;4.00;14.00;100.00;3.00
2065.00;50.00;170.00;4.00;14.00;100.00;3.00
2055.00;33.00;250.00;8.00;14.00;100.00;3.00
2099.00;33.00;212.00;4.00;14.00;100.00;3.00
1995.00;33.00;130.00;4.00;14.00;100.00;3.00
2220.00;33.00;250.00;4.00;14.00;100.00;3.00
3220.00;66.00;340.00;8.00;15.00;100.00;3.00
3995.00;66.00;452.00;8.00;14.00;100.00;3.00
2785.00;33.00;250.00;8.00;17.00;100.00;3.00
2475.00;50.00;250.00;8.00;15.00;100.00;3.00
1499.00;25.00;170.00;4.00;14.00;100.00;3.00
1595.00;33.00;85.00;2.00;14.00;100.00;3.00
2099.00;66.00;120.00;4.00;14.00;100.00;3.00
2885.00;66.00;170.00;8.00;15.00;100.00;3.00
3795.00;33.00;452.00;8.00;14.00;100.00;3.00
2295.00;66.00;170.00;4.00;14.00;100.00;3.00
3895.00;66.00;500.00;8.00;15.00;100.00;3.00
2395.00;33.00;245.00;8.00;14.00;100.00;3.00
3135.00;66.00;250.00;8.00;17.00;100.00;3.00
2420.00;33.00;170.00;8.00;15.00;100.00;3.00
2125.00;66.00;170.00;4.00;14.00;100.00;3.00
2985.00;66.00;250.00;8.00;17.00;100.00;3.00
1395.00;25.00;85.00;2.00;14.00;100.00;3.00
2295.00;33.00;245.00;8.00;14.00;100.00;3.00
2095.00;33.00;130.00;4.00;14.00;100.00;3.00
2795.00;33.00;340.00;16.00;14.00;100.00;3.00
1945.00;33.00;170.00;4.00;14.00;100.00;3.00
2635.00;33.00;250.00;8.00;17.00;100.00;3.00
2695.00;66.00;250.00;8.00;15.00;100.00;3.00
2199.00;50.00;213.00;8.00;14.00;100.00;3.00
3895.00;50.00;452.00;8.00;14.00;100.00;3.00
2599.00;50.00;212.00;8.00;14.00;100.00;3.00
2745.00;66.00;170.00;8.00;14.00;100.00;3.00
1920.00;33.00;170.00;4.00;14.00;100.00;3.00
2895.00;50.00;340.00;16.00;14.00;100.00;3.00
2199.00;33.00;210.00;4.00;14.00;100.00;3.00
2915.00;50.00;250.00;8.00;17.00;100.00;3.00
1999.00;33.00;120.00;8.00;14.00;100.00;3.00
2720.00;33.00;250.00;8.00;15.00;100.00;3.00
1999.00;33.00;170.00;4.00;14.00;100.00;3.00
2195.00;33.00;170.00;8.00;15.00;100.00;3.00
2195.00;25.00;245.00;8.00;14.00;100.00;3.00
2295.00;66.00;130.00;4.00;14.00;100.00;3.00
1595.00;25.00;170.00;4.00;15.00;100.00;3.00
1695.00;33.00;170.00;4.00;14.00;100.00;3.00
1495.00;25.00;170.00;4.00;14.00;100.00;3.00
3795.00;66.00;500.00;8.00;14.00;100.00;3.00
1699.00;33.00;120.00;4.00;14.00;100.00;3.00
1895.00;25.00;130.00;4.00;14.00;100.00;3.00
2335.00;50.00;250.00;8.00;14.00;100.00;3.00
2495.00;50.00;245.00;8.00;14.00;100.00;3.00
2575.00;66.00;250.00;8.00;14.00;100.00;3.00
2495.00;33.00;250.00;8.00;15.00;100.00;3.00
3299.00;66.00;245.00;16.00;15.00;100.00;3.00
2699.00;66.00;213.00;8.00;14.00;100.00;3.00
1695.00;50.00;85.00;2.00;14.00;100.00;3.00
2999.00;66.00;170.00;4.00;14.00;100.00;3.00
2399.00;66.00;213.00;8.00;14.00;100.00;3.00
1499.00;25.00;170.00;4.00;14.00;100.00;3.00
2395.00;33.00;170.00;8.00;14.00;100.00;3.00
1720.00;25.00;170.00;4.00;14.00;100.00;3.00
1495.00;33.00;85.00;2.00;14.00;100.00;3.00
2399.00;66.00;120.00;4.00;14.00;100.00;3.00
3035.00;50.00;250.00;8.00;17.00;100.00;3.00
2449.00;33.00;230.00;4.00;14.00;100.00;3.00
1775.00;33.00;170.00;4.00;14.00;100.00;3.00
2599.00;33.00;245.00;16.00;15.00;100.00;3.00
2995.00;66.00;340.00;8.00;15.00;100.00;3.00
2345.00;33.00;250.00;8.00;15.00;100.00;3.00
2535.00;33.00;170.00;8.00;15.00;100.00;3.00
2345.00;50.00;250.00;8.00;14.00;100.00;3.00
1899.00;50.00;120.00;4.00;14.00;100.00;3.00
2195.00;50.00;130.00;4.00;14.00;100.00;3.00
2645.00;50.00;170.00;8.00;14.00;100.00;3.00
2785.00;50.00;170.00;8.00;15.00;100.00;3.00
2799.00;50.00;245.00;16.00;15.00;100.00;3.00
2999.00;66.00;340.00;4.00;15.00;100.00;3.00
2095.00;33.00;250.00;4.00;15.00;100.00;3.00
4020.00;66.00;500.00;8.00;14.00;100.00;3.00
2595.00;50.00;250.00;8.00;15.00;100.00;3.00
2695.00;33.00;340.00;16.00;14.00;100.00;3.00
2195.00;33.00;250.00;8.00;15.00;100.00;3.00
2995.00;66.00;340.00;16.00;14.00;100.00;3.00
2195.00;50.00;170.00;4.00;14.00;100.00;3.00
2399.00;33.00;212.00;8.00;14.00;100.00;3.00
2405.00;66.00;250.00;8.00;14.00;100.00;3.00
1795.00;66.00;85.00;2.00;14.00;100.00;3.00
2225.00;33.00;250.00;8.00;14.00;100.00;3.00
1995.00;33.00;250.00;4.00;14.00;100.00;3.00
2299.00;50.00;212.00;4.00;14.00;100.00;3.00
1795.00;33.00;170.00;4.00;15.00;100.00;3.00
2545.00;66.00;250.00;8.00;15.00;100.00;3.00
2595.00;66.00;245.00;8.00;14.00;100.00;3.00
1399.00;25.00;170.00;4.00;14.00;100.00;3.00
2475.00;50.00;250.00;8.00;14.00;100.00;3.00
2595.00;25.00;340.00;16.00;14.00;100.00;3.00
1695.00;50.00;85.00;2.00;14.00;108.00;4.00
3995.00;66.00;452.00;8.00;14.00;108.00;4.00
2999.00;66.00;240.00;4.00;15.00;108.00;4.00
2495.00;50.00;245.00;8.00;14.00;108.00;4.00
2455.00;66.00;250.00;8.00;14.00;108.00;4.00
2299.00;50.00;212.00;4.00;14.00;108.00;4.00
2690.00;25.00;340.00;16.00;14.00;108.00;4.00
2155.00;33.00;250.00;8.00;14.00;108.00;4.00
2890.00;33.00;340.00;16.00;14.00;108.00;4.00
1899.00;33.00;170.00;4.00;14.00;108.00;4.00
1595.00;25.00;170.00;4.00;14.00;108.00;4.00
1990.00;25.00;130.00;4.00;14.00;108.00;4.00
1895.00;25.00;130.00;4.00;14.00;108.00;4.00
1895.00;33.00;170.00;4.00;14.00;108.00;4.00
2799.00;50.00;245.00;16.00;15.00;108.00;4.00
2590.00;50.00;245.00;8.00;14.00;108.00;4.00
1499.00;25.00;170.00;4.00;14.00;108.00;4.00
2955.00;50.00;250.00;8.00;17.00;108.00;4.00
2285.00;50.00;250.00;8.00;14.00;108.00;4.00
2475.00;50.00;250.00;8.00;15.00;108.00;4.00
3795.00;33.00;452.00;8.00;14.00;108.00;4.00
1999.00;33.00;213.00;8.00;14.00;108.00;4.00
2599.00;50.00;212.00;8.00;14.00;108.00;4.00
2895.00;50.00;340.00;16.00;14.00;108.00;4.00
3895.00;50.00;452.00;8.00;14.00;108.00;4.00
2695.00;66.00;250.00;8.00;14.00;108.00;4.00
1995.00;50.00;170.00;4.00;14.00;108.00;4.00
2399.00;66.00;120.00;4.00;14.00;108.00;4.00
2605.00;33.00;250.00;8.00;17.00;108.00;4.00
2335.00;66.00;250.00;8.00;14.00;108.00;4.00
2195.00;66.00;170.00;4.00;14.00;108.00;4.00
2425.00;66.00;250.00;8.00;15.00;108.00;4.00
2995.00;66.00;340.00;16.00;14.00;108.00;4.00
2599.00;33.00;245.00;16.00;15.00;108.00;4.00
2390.00;33.00;245.00;8.00;14.00;108.00;4.00
1690.00;33.00;85.00;2.00;14.00;108.00;4.00
1495.00;33.00;85.00;2.00;14.00;108.00;4.00
2395.00;33.00;250.00;8.00;14.00;108.00;4.00
2099.00;33.00;212.00;4.00;14.00;108.00;4.00
3090.00;66.00;340.00;16.00;14.00;108.00;4.00
2599.00;33.00;240.00;4.00;15.00;108.00;4.00
1999.00;33.00;170.00;4.00;14.00;108.00;4.00
2195.00;50.00;130.00;4.00;14.00;108.00;4.00
2190.00;33.00;130.00;4.00;14.00;108.00;4.00
2025.00;50.00;170.00;4.00;14.00;108.00;4.00
1699.00;33.00;120.00;4.00;14.00;108.00;4.00
2790.00;33.00;340.00;16.00;14.00;108.00;4.00
1795.00;33.00;170.00;4.00;14.00;108.00;4.00
2990.00;50.00;340.00;16.00;14.00;108.00;4.00
2905.00;66.00;250.00;8.00;17.00;108.00;4.00
2825.00;33.00;250.00;8.00;17.00;108.00;4.00
2390.00;66.00;130.00;4.00;14.00;108.00;4.00
2699.00;66.00;213.00;8.00;14.00;108.00;4.00
2995.00;66.00;340.00;8.00;15.00;108.00;4.00
1590.00;33.00;85.00;2.00;14.00;108.00;4.00
2345.00;33.00;250.00;8.00;15.00;108.00;4.00
2199.00;50.00;213.00;8.00;14.00;108.00;4.00
2290.00;50.00;130.00;4.00;14.00;108.00;4.00
2595.00;50.00;250.00;8.00;15.00;108.00;4.00
2515.00;33.00;250.00;8.00;15.00;108.00;4.00
2145.00;50.00;170.00;4.00;14.00;108.00;4.00
2405.00;50.00;250.00;8.00;14.00;108.00;4.00
2525.00;50.00;250.00;8.00;14.00;108.00;4.00
2595.00;50.00;250.00;8.00;15.00;108.00;4.00
2090.00;33.00;130.00;4.00;14.00;108.00;4.00
2075.00;66.00;170.00;4.00;14.00;108.00;4.00
2799.00;50.00;240.00;4.00;15.00;108.00;4.00
3299.00;66.00;245.00;16.00;15.00;108.00;4.00
2645.00;66.00;250.00;8.00;15.00;108.00;4.00
3125.00;66.00;250.00;8.00;17.00;108.00;4.00
2295.00;33.00;245.00;8.00;14.00;108.00;4.00
1775.00;33.00;170.00;4.00;14.00;108.00;4.00
2095.00;33.00;130.00;4.00;14.00;108.00;4.00
2155.00;50.00;250.00;8.00;14.00;108.00;4.00
3075.00;50.00;250.00;8.00;17.00;108.00;4.00
2815.00;66.00;250.00;8.00;15.00;108.00;4.00
1599.00;25.00;170.00;4.00;14.00;108.00;4.00
2099.00;33.00;120.00;4.00;14.00;108.00;4.00
2645.00;50.00;250.00;8.00;15.00;108.00;4.00
1795.00;66.00;85.00;2.00;14.00;108.00;4.00
2035.00;33.00;250.00;8.00;14.00;108.00;4.00
2490.00;33.00;245.00;8.00;14.00;108.00;4.00
3225.00;66.00;212.00;4.00;15.00;108.00;4.00
2690.00;66.00;245.00;8.00;14.00;108.00;4.00
2195.00;25.00;245.00;8.00;14.00;108.00;4.00
1890.00;66.00;85.00;2.00;14.00;108.00;4.00
1995.00;33.00;130.00;4.00;14.00;108.00;4.00
2695.00;33.00;340.00;16.00;14.00;108.00;4.00
2595.00;25.00;340.00;16.00;14.00;108.00;4.00
1595.00;33.00;85.00;2.00;14.00;108.00;4.00
1490.00;25.00;85.00;2.00;14.00;108.00;4.00
2125.00;33.00;250.00;8.00;15.00;108.00;4.00
2399.00;66.00;213.00;8.00;14.00;108.00;4.00
2795.00;33.00;340.00;16.00;14.00;108.00;4.00
2290.00;25.00;245.00;8.00;14.00;108.00;4.00
2395.00;33.00;245.00;8.00;14.00;108.00;4.00
2399.00;33.00;212.00;8.00;14.00;108.00;4.00
1790.00;50.00;85.00;2.00;14.00;108.00;4.00
2099.00;66.00;120.00;4.00;14.00;108.00;4.00
1395.00;25.00;85.00;2.00;14.00;108.00;4.00
1895.00;50.00;170.00;4.00;14.00;108.00;4.00
2295.00;66.00;130.00;4.00;14.00;108.00;4.00
2595.00;66.00;245.00;8.00;14.00;108.00;4.00
1899.00;50.00;120.00;4.00;14.00;108.00;4.00
1399.00;25.00;170.00;4.00;14.00;108.00;4.00
2999.00;66.00;170.00;4.00;14.00;108.00;4.00
2999.00;66.00;245.00;16.00;15.00;108.00;4.00
2449.00;33.00;230.00;4.00;14.00;108.00;4.00
1795.00;33.00;170.00;4.00;14.00;139.00;5.00
1899.00;33.00;212.00;4.00;14.00;139.00;5.00
2395.00;33.00;340.00;8.00;14.00;139.00;5.00
2399.00;50.00;320.00;8.00;14.00;139.00;5.00
1595.00;33.00;170.00;4.00;14.00;139.00;5.00
2490.00;33.00;340.00;8.00;14.00;139.00;5.00
2995.00;66.00;452.00;16.00;14.00;139.00;5.00
2890.00;33.00;452.00;16.00;14.00;139.00;5.00
2190.00;33.00;214.00;4.00;15.00;139.00;5.00
2399.00;66.00;213.00;8.00;14.00;139.00;5.00
2285.00;50.00;250.00;8.00;14.00;139.00;5.00
2590.00;33.00;340.00;8.00;15.00;139.00;5.00
2795.00;33.00;452.00;16.00;14.00;139.00;5.00
1495.00;33.00;170.00;4.00;14.00;139.00;5.00
2075.00;66.00;170.00;4.00;14.00;139.00;5.00
2090.00;33.00;214.00;4.00;15.00;139.00;5.00
2195.00;33.00;250.00;8.00;15.00;139.00;5.00
3999.00;66.00;340.00;16.00;17.00;139.00;5.00
1699.00;33.00;120.00;4.00;14.00;139.00;5.00
1995.00;33.00;250.00;8.00;14.00;139.00;5.00
1690.00;33.00;107.00;2.00;14.00;139.00;5.00
3495.00;33.00;452.00;8.00;14.00;139.00;5.00
2195.00;66.00;170.00;4.00;14.00;139.00;5.00
3090.00;66.00;452.00;16.00;14.00;139.00;5.00
2690.00;25.00;452.00;16.00;14.00;139.00;5.00
1895.00;25.00;214.00;4.00;14.00;139.00;5.00
2495.00;50.00;250.00;8.00;15.00;139.00;5.00
2405.00;50.00;250.00;8.00;14.00;139.00;5.00
1595.00;33.00;107.00;2.00;14.00;139.00;5.00
2890.00;33.00;452.00;16.00;15.00;139.00;5.00
2390.00;25.00;340.00;8.00;14.00;139.00;5.00
1690.00;33.00;107.00;2.00;15.00;139.00;5.00
2295.00;25.00;340.00;8.00;14.00;139.00;5.00
2790.00;33.00;452.00;16.00;14.00;139.00;5.00
2695.00;33.00;452.00;16.00;14.00;139.00;5.00
2595.00;25.00;452.00;16.00;14.00;139.00;5.00
1995.00;33.00;214.00;4.00;14.00;139.00;5.00
2049.00;33.00;405.00;4.00;14.00;139.00;5.00
1399.00;25.00;170.00;4.00;14.00;139.00;5.00
2805.00;33.00;250.00;8.00;17.00;139.00;5.00
2019.00;33.00;120.00;4.00;14.00;139.00;5.00
3055.00;50.00;250.00;8.00;17.00;139.00;5.00
2990.00;50.00;452.00;16.00;14.00;139.00;5.00
2605.00;33.00;250.00;8.00;17.00;139.00;5.00
2125.00;33.00;250.00;8.00;15.00;139.00;5.00
1490.00;25.00;107.00;2.00;14.00;139.00;5.00
1699.00;33.00;170.00;4.00;14.00;139.00;5.00
2495.00;33.00;340.00;8.00;14.00;139.00;5.00
2599.00;33.00;245.00;16.00;15.00;139.00;5.00
2220.00;33.00;250.00;8.00;14.00;139.00;5.00
1590.00;33.00;107.00;2.00;15.00;139.00;5.00
1499.00;33.00;120.00;4.00;14.00;139.00;5.00
2625.00;66.00;250.00;8.00;15.00;139.00;5.00
1395.00;25.00;107.00;2.00;14.00;139.00;5.00
2395.00;33.00;250.00;8.00;14.00;139.00;5.00
2420.00;33.00;250.00;8.00;15.00;139.00;5.00
2425.00;66.00;250.00;8.00;15.00;139.00;5.00
2515.00;33.00;250.00;8.00;15.00;139.00;5.00
2375.00;50.00;250.00;8.00;15.00;139.00;5.00
3105.00;66.00;250.00;8.00;17.00;139.00;5.00
2390.00;66.00;214.00;4.00;15.00;139.00;5.00
2905.00;66.00;250.00;8.00;17.00;139.00;5.00
2690.00;25.00;452.00;16.00;15.00;139.00;5.00
2695.00;66.00;250.00;8.00;14.00;139.00;5.00
1790.00;50.00;107.00;2.00;14.00;139.00;5.00
3495.00;66.00;500.00;8.00;14.00;139.00;5.00
2790.00;33.00;452.00;16.00;15.00;139.00;5.00
1790.00;50.00;107.00;2.00;15.00;139.00;5.00
1795.00;66.00;107.00;2.00;14.00;139.00;5.00
2995.00;66.00;340.00;8.00;15.00;139.00;5.00
1995.00;50.00;170.00;4.00;14.00;139.00;5.00
2599.00;50.00;405.00;8.00;14.00;139.00;5.00
3720.00;66.00;500.00;8.00;14.00;139.00;5.00
2155.00;33.00;250.00;8.00;14.00;139.00;5.00
1599.00;25.00;170.00;4.00;14.00;139.00;5.00
2525.00;50.00;250.00;8.00;14.00;139.00;5.00
2299.00;33.00;405.00;8.00;14.00;139.00;5.00
1895.00;33.00;170.00;4.00;14.00;139.00;5.00
1490.00;25.00;107.00;2.00;15.00;139.00;5.00
2035.00;33.00;250.00;8.00;14.00;139.00;5.00
1720.00;33.00;170.00;4.00;14.00;139.00;5.00
2595.00;50.00;250.00;8.00;15.00;139.00;5.00
2290.00;50.00;214.00;4.00;15.00;139.00;5.00
2455.00;50.00;250.00;8.00;15.00;139.00;5.00
