carat;depth;table;price;x;y;z
0.71;57.80;60.00;2777.00;5.87;5.90;3.40
0.70;62.10;55.00;2777.00;5.70;5.67;3.53
0.70;61.10;60.00;2777.00;5.71;5.64;3.47
0.70;60.00;59.00;2777.00;5.79;5.75;3.46
0.70;61.20;57.00;2777.00;5.73;5.68;3.49
0.70;62.70;59.00;2777.00;5.67;5.63;3.54
0.70;61.00;57.00;2777.00;5.73;5.68;3.48
0.70;61.00;58.00;2777.00;5.78;5.72;3.51
0.70;61.40;57.00;2777.00;5.76;5.70;3.52
0.72;61.80;61.00;2777.00;5.82;5.71;3.56
0.70;59.90;63.00;2777.00;5.76;5.70;3.43
0.70;61.30;58.00;2777.00;5.71;5.68;3.49
0.70;60.50;58.00;2777.00;5.77;5.74;3.48
0.70;64.10;59.00;2777.00;5.64;5.59;3.60
0.98;67.90;60.00;2777.00;6.05;5.97;4.08
0.78;62.40;58.00;2777.00;5.83;5.80;3.63
0.70;63.20;60.00;2777.00;5.60;5.51;3.51
0.52;61.30;55.00;2778.00;5.19;5.22;3.19
0.73;60.80;56.00;2779.00;5.82;5.84;3.55
0.74;61.70;56.00;2779.00;5.84;5.80;3.59
0.70;63.60;57.00;2780.00;5.61;5.65;3.58
0.77;61.20;58.00;2780.00;5.90;5.93;3.62
0.71;62.10;54.00;2780.00;5.68;5.72;3.54
0.74;61.50;55.00;2780.00;5.81;5.86;3.59
0.70;61.40;59.00;2780.00;5.64;5.73;3.49
1.01;61.80;60.00;2781.00;6.39;6.36;3.94
0.77;62.20;56.00;2781.00;5.83;5.88;3.64
0.78;61.20;56.00;2781.00;5.92;5.99;3.64
0.72;60.60;63.00;2782.00;5.83;5.76;3.51
0.53;57.50;64.00;2782.00;5.34;5.37;3.08
0.76;61.30;56.00;2782.00;5.90;5.94;3.63
0.70;57.20;62.00;2782.00;5.81;5.77;3.31
0.70;62.90;60.00;2782.00;5.62;5.54;3.51
0.75;63.10;58.00;2782.00;5.78;5.73;3.63
0.72;60.80;57.00;2782.00;5.76;5.75;3.50
0.72;62.70;59.00;2782.00;5.73;5.69;3.58
0.70;62.80;60.00;2782.00;5.68;5.66;3.56
0.84;55.10;67.00;2782.00;6.39;6.20;3.47
0.75;61.40;59.00;2782.00;5.88;5.85;3.60
0.52;62.20;55.00;2783.00;5.14;5.18;3.21
0.72;63.00;54.00;2784.00;5.69;5.73;3.60
0.79;63.70;56.00;2784.00;5.85;5.92;3.75
0.72;63.60;58.00;2787.00;5.66;5.69;3.61
0.51;62.00;57.00;2787.00;5.11;5.15;3.18
0.64;61.50;56.00;2787.00;5.54;5.55;3.41
0.70;60.50;60.00;2788.00;5.74;5.77;3.48
0.83;61.10;60.00;2788.00;6.07;6.10;3.72
0.76;61.80;56.00;2788.00;5.85;5.87;3.62
0.71;63.30;56.00;2788.00;5.64;5.68;3.58
0.77;59.40;64.00;2788.00;5.97;5.92;3.53
0.71;62.50;55.00;2788.00;5.71;5.65;3.55
1.01;64.50;58.00;2788.00;6.29;6.21;4.03
1.01;62.70;59.00;2788.00;6.31;6.22;3.93
0.77;64.20;52.00;2789.00;5.81;5.77;3.72
0.76;63.70;54.00;2789.00;5.76;5.85;3.70
0.76;60.40;58.00;2789.00;5.92;5.94;3.58
0.76;61.80;58.00;2789.00;5.82;5.86;3.61
1.05;63.20;56.00;2789.00;6.49;6.45;4.09
0.81;61.60;56.00;2789.00;5.97;6.01;3.69
0.70;61.60;56.00;2789.00;5.72;5.75;3.53
0.55;60.90;57.00;2789.00;5.28;5.30;3.22
0.81;61.00;61.00;2789.00;5.94;5.99;3.64
0.63;62.10;57.00;2789.00;5.48;5.41;3.38
0.63;60.90;60.00;2789.00;5.55;5.52;3.37
0.77;61.30;60.00;2789.00;5.90;5.88;3.61
1.05;65.80;59.00;2789.00;6.41;6.27;4.18
0.64;61.30;56.00;2790.00;5.54;5.58;3.41
0.76;58.80;59.00;2790.00;6.00;5.94;3.51
0.83;62.30;55.00;2790.00;6.02;6.05;3.76
0.71;60.10;62.00;2790.00;5.77;5.74;3.46
0.71;61.80;59.00;2790.00;5.73;5.69;3.53
0.87;63.60;55.80;2791.00;6.07;6.10;3.87
0.73;62.20;56.00;2791.00;5.74;5.78;3.58
0.71;59.20;59.00;2792.00;5.83;5.86;3.46
0.71;61.80;59.00;2792.00;5.70;5.75;3.54
0.71;61.30;55.00;2792.00;5.72;5.77;3.52
0.70;62.10;60.00;2792.00;5.71;5.65;3.53
0.70;60.70;60.00;2792.00;5.78;5.75;3.50
0.76;59.60;57.00;2792.00;5.91;5.86;3.51
0.70;62.20;56.00;2792.00;5.73;5.68;3.55
0.79;60.60;57.00;2793.00;5.98;6.06;3.65
0.70;62.90;57.00;2793.00;5.66;5.69;3.57
0.70;64.10;55.00;2793.00;5.60;5.66;3.61
0.76;61.30;56.00;2793.00;5.87;5.91;3.61
0.73;62.70;55.00;2793.00;5.72;5.76;3.60
0.79;63.20;56.00;2794.00;5.91;5.86;3.72
0.71;60.70;56.00;2795.00;5.81;5.82;3.53
0.81;61.90;60.00;2795.00;5.91;5.86;3.64
0.81;62.60;55.00;2795.00;5.92;5.96;3.72
0.72;60.70;60.00;2795.00;5.74;5.72;3.48
0.72;62.00;60.00;2795.00;5.73;5.69;3.54
0.72;63.00;57.00;2795.00;5.72;5.70;3.60
0.81;58.00;59.00;2795.00;6.17;6.13;3.57
0.72;62.90;57.00;2795.00;5.73;5.65;3.58
1.00;58.20;60.00;2795.00;6.61;6.55;3.83
0.73;63.20;58.00;2796.00;5.70;5.76;3.62
0.81;61.30;59.00;2797.00;5.94;6.01;3.66
0.81;60.30;60.00;2797.00;6.07;6.10;3.67
0.71;62.70;60.00;2797.00;5.67;5.71;3.57
0.71;61.30;58.00;2797.00;5.73;5.75;3.52
0.71;61.60;60.00;2797.00;5.74;5.69;3.52
0.57;61.90;55.00;2797.00;5.34;5.35;3.31
0.51;61.70;56.00;2797.00;5.12;5.16;3.17
0.72;61.90;58.00;2797.00;5.72;5.75;3.55
0.74;61.80;58.00;2797.00;5.77;5.81;3.58
0.74;61.60;56.00;2797.00;5.81;5.82;3.58
0.70;58.80;66.00;2797.00;5.81;5.90;3.44
0.80;61.00;57.00;2797.00;6.03;6.01;3.67
1.01;67.40;60.00;2797.00;6.19;6.05;4.13
0.80;63.40;60.00;2797.00;5.92;5.82;3.72
0.77;61.50;59.00;2798.00;5.87;5.91;3.62
0.83;58.00;62.00;2799.00;6.19;6.25;3.61
0.82;62.40;54.00;2799.00;5.97;6.02;3.74
0.78;61.90;57.00;2799.00;5.91;5.86;3.64
0.60;61.60;56.00;2800.00;5.43;5.46;3.35
0.90;62.20;59.00;2800.00;6.07;6.11;3.79
0.70;62.20;58.00;2800.00;5.60;5.66;3.50
0.90;61.30;56.00;2800.00;6.17;6.23;3.80
0.83;62.30;57.00;2800.00;5.99;6.08;3.76
0.83;61.80;57.00;2800.00;6.03;6.07;3.74
0.83;62.50;59.00;2800.00;5.95;6.02;3.74
0.74;62.90;60.00;2800.00;5.74;5.68;3.59
0.79;61.80;59.00;2800.00;5.92;5.95;3.67
0.61;62.30;56.00;2800.00;5.43;5.45;3.39
0.76;59.00;70.00;2800.00;5.89;5.80;3.46
0.96;60.70;55.00;2801.00;6.37;6.41;3.88
0.73;62.50;55.00;2801.00;5.80;5.76;3.61
0.73;62.70;58.00;2801.00;5.76;5.70;3.59
0.75;60.40;57.00;2801.00;5.93;5.96;3.59
0.71;62.10;58.00;2801.00;5.70;5.67;3.53
0.71;57.80;60.00;2801.00;5.90;5.87;3.40
0.71;63.80;58.00;2801.00;5.64;5.61;3.59
0.71;62.80;57.00;2801.00;5.69;5.64;3.56
1.04;62.20;58.00;2801.00;6.46;6.41;4.00
1.00;62.30;58.00;2801.00;6.45;6.34;3.98
0.87;59.90;58.00;2802.00;6.19;6.23;3.72
0.53;61.90;54.00;2802.00;5.22;5.25;3.24
0.72;63.00;55.00;2802.00;5.79;5.61;3.59
0.72;62.40;58.00;2802.00;5.83;5.70;3.60
0.70;62.90;58.00;2803.00;5.63;5.65;3.55
0.74;63.50;56.00;2803.00;5.74;5.79;3.66
0.71;61.30;56.00;2803.00;5.75;5.71;3.51
0.73;60.60;54.00;2803.00;5.84;5.89;3.55
0.70;65.10;58.00;2803.00;5.56;5.59;3.63
0.71;62.60;58.00;2803.00;5.70;5.67;3.56
0.71;58.00;62.00;2803.00;5.85;5.81;3.38
0.71;62.40;61.00;2803.00;5.70;5.65;3.54
0.77;61.30;57.00;2803.00;5.93;5.88;3.62
0.71;59.90;60.00;2803.00;5.81;5.77;3.47
0.78;60.80;58.00;2803.00;6.03;5.95;3.64
0.71;63.50;55.00;2803.00;5.66;5.64;3.59
0.91;62.20;57.00;2803.00;6.21;6.15;3.85
0.71;63.80;58.00;2804.00;5.62;5.66;3.60
0.71;64.00;57.00;2804.00;5.66;5.68;3.63
0.80;62.50;56.00;2804.00;5.88;5.96;3.70
0.70;62.30;58.00;2804.00;5.69;5.73;3.56
0.72;61.70;57.00;2804.00;5.74;5.77;3.55
0.72;62.20;58.00;2804.00;5.75;5.70;3.56
0.82;61.50;56.00;2804.00;6.01;6.08;3.72
0.70;61.00;59.00;2804.00;5.68;5.70;3.47
0.72;62.20;56.00;2804.00;5.74;5.77;3.58
0.72;61.50;54.00;2804.00;5.77;5.80;3.56
0.90;67.30;59.00;2804.00;5.93;5.84;3.96
0.74;61.70;58.00;2805.00;5.85;5.78;3.59
0.74;61.90;56.00;2805.00;5.80;5.77;3.58
0.73;61.80;58.00;2805.00;5.77;5.81;3.58
0.57;58.70;66.00;2805.00;5.34;5.43;3.16
0.73;62.50;57.00;2805.00;5.75;5.70;3.58
0.72;62.80;56.00;2805.00;5.74;5.70;3.59
0.74;61.10;68.00;2805.00;5.82;5.75;3.53
0.82;64.00;57.00;2805.00;5.92;5.89;3.78
0.81;62.50;60.00;2806.00;5.89;5.94;3.69
0.75;60.60;58.00;2806.00;5.85;5.90;3.56
0.70;61.60;55.00;2806.00;5.72;5.74;3.53
0.71;62.20;58.00;2807.00;5.66;5.72;3.54
0.71;60.00;57.00;2807.00;5.84;5.90;3.52
0.93;61.90;57.00;2807.00;6.21;6.19;3.84
0.80;62.80;57.00;2808.00;5.87;5.91;3.70
0.70;62.00;57.00;2808.00;5.64;5.71;3.52
1.00;66.40;59.00;2808.00;6.16;6.09;4.07
0.75;63.40;56.00;2808.00;5.78;5.74;3.65
0.58;60.90;56.00;2808.00;5.41;5.43;3.30
0.73;63.10;57.00;2808.00;5.74;5.70;3.61
0.81;63.10;59.00;2809.00;5.85;5.79;3.67
0.81;59.20;57.00;2809.00;6.15;6.05;3.61
0.71;60.70;54.00;2809.00;5.84;5.80;3.53
1.20;64.60;56.00;2809.00;6.73;6.66;4.33
0.70;61.80;56.00;2810.00;5.63;5.70;3.50
0.70;59.90;60.00;2810.00;5.77;5.84;3.48
0.74;61.70;55.00;2810.00;5.81;5.85;3.60
0.70;62.80;61.00;2810.00;5.57;5.61;3.51
0.80;62.70;57.00;2810.00;5.84;5.93;3.69
0.75;63.40;58.00;2811.00;5.72;5.76;3.64
0.83;63.50;54.00;2811.00;5.98;5.95;3.79
1.00;65.70;59.00;2811.00;6.14;6.07;4.01
0.99;68.10;56.00;2811.00;6.21;6.06;4.18
0.70;63.00;60.00;2812.00;5.57;5.64;3.53
0.70;59.50;58.00;2812.00;5.75;5.85;3.45
0.70;63.50;59.00;2812.00;5.49;5.53;3.50
0.70;61.70;58.00;2812.00;5.63;5.69;3.49
0.32;62.70;58.00;554.00;4.37;4.34;2.73
0.32;62.80;58.00;554.00;4.39;4.34;2.74
0.32;62.40;57.00;554.00;4.37;4.35;2.72
0.32;61.00;59.00;554.00;4.39;4.36;2.67
0.32;63.10;56.00;554.00;4.39;4.36;2.76
0.32;60.70;57.00;554.00;4.47;4.42;2.70
0.30;60.90;59.00;554.00;4.31;4.29;2.62
0.30;60.10;55.00;554.00;4.41;4.38;2.64
0.30;62.90;58.00;554.00;4.28;4.24;2.68
0.30;63.30;56.00;554.00;4.29;4.27;2.71
0.30;63.80;55.00;554.00;4.26;4.20;2.70
0.30;62.90;57.00;554.00;4.27;4.22;2.67
0.30;63.40;60.00;554.00;4.25;4.23;2.69
0.32;63.90;55.00;554.00;4.36;4.34;2.78
0.33;61.40;56.00;554.00;4.85;4.79;2.95
0.29;61.90;55.00;555.00;4.28;4.33;2.66
0.29;62.40;55.00;555.00;4.20;4.25;2.63
0.31;61.80;58.00;555.00;4.32;4.35;2.68
0.34;61.50;56.00;555.00;4.47;4.50;2.76
0.34;60.40;57.00;555.00;4.54;4.57;2.75
0.34;61.80;55.00;555.00;4.48;4.52;2.78
0.34;62.00;56.00;555.00;4.50;4.53;2.80
0.30;62.30;56.00;555.00;4.29;4.31;2.68
0.29;61.60;56.00;555.00;4.26;4.31;2.64
0.35;60.60;56.00;555.00;4.56;4.58;2.77
0.43;58.40;62.00;555.00;4.94;5.00;2.90
0.32;61.40;58.00;556.00;4.37;4.42;2.70
0.36;61.90;56.00;556.00;4.54;4.57;2.82
0.30;62.00;56.00;556.00;4.28;4.30;2.66
0.26;61.50;57.00;556.00;4.09;4.12;2.52
0.70;62.30;58.00;2812.00;5.64;5.72;3.54
0.70;60.90;61.00;2812.00;5.66;5.71;3.46
0.71;62.40;57.00;2812.00;5.69;5.72;3.56
0.99;55.00;61.00;2812.00;6.72;6.67;3.68
0.73;58.60;60.00;2812.00;5.92;5.89;3.46
0.51;62.00;57.00;2812.00;5.15;5.11;3.18
0.91;59.80;58.00;2813.00;6.30;6.29;3.77
0.84;63.40;55.00;2813.00;6.00;5.95;3.79
0.91;64.30;58.00;2813.00;6.09;6.05;3.90
0.76;62.20;59.00;2814.00;5.86;5.81;3.63
0.76;61.70;57.00;2814.00;5.88;5.85;3.62
0.75;61.10;59.00;2814.00;5.86;5.83;3.57
0.55;61.50;56.00;2815.00;5.23;5.27;3.23
0.76;58.50;62.00;2815.00;5.93;6.01;3.49
0.74;61.70;58.00;2815.00;5.79;5.81;3.58
0.70;60.40;56.00;2815.00;5.75;5.81;3.49
0.70;61.40;56.00;2815.00;5.70;5.76;3.52
0.70;61.50;55.00;2815.00;5.73;5.79;3.54
0.70;61.40;56.00;2815.00;5.72;5.77;3.53
0.90;65.00;56.00;2815.00;6.08;6.04;3.94
0.95;56.00;60.00;2815.00;6.62;6.53;3.68
0.89;60.20;59.00;2815.00;6.26;6.23;3.76
0.72;58.30;58.00;2815.00;5.99;5.92;3.47
0.96;53.10;63.00;2815.00;6.73;6.65;3.55
1.02;60.30;58.00;2815.00;6.55;6.50;3.94
0.78;61.40;56.00;2816.00;5.91;5.95;3.64
0.61;60.10;57.00;2816.00;5.52;5.54;3.32
0.71;63.40;55.00;2816.00;5.61;5.69;3.58
0.78;61.50;59.00;2816.00;5.96;5.88;3.64
0.87;62.70;56.00;2816.00;6.16;6.13;3.85
0.83;62.50;55.00;2816.00;6.04;6.00;3.76
0.71;61.30;56.00;2817.00;5.78;5.73;3.53
0.71;60.20;56.00;2817.00;5.84;5.89;3.53
0.71;62.70;57.00;2817.00;5.66;5.64;3.54
0.71;62.30;58.00;2817.00;5.69;5.65;3.53
0.63;61.50;56.00;2817.00;5.48;5.52;3.38
0.71;59.20;59.00;2817.00;5.86;5.83;3.46
0.71;61.80;59.00;2817.00;5.75;5.70;3.54
0.71;61.30;55.00;2817.00;5.77;5.72;3.52
0.71;61.40;58.00;2817.00;5.77;5.73;3.53
0.90;62.80;55.00;2817.00;6.20;6.16;3.88
0.71;62.80;64.00;2817.00;5.60;5.54;3.50
0.70;62.40;61.00;2818.00;5.66;5.63;3.52
0.70;59.30;60.00;2818.00;5.78;5.73;3.41
0.70;63.00;60.00;2818.00;5.64;5.60;3.54
1.00;61.30;60.00;2818.00;6.43;6.39;3.93
0.86;59.30;62.00;2818.00;6.36;6.22;3.73
0.80;61.00;57.00;2818.00;6.07;6.00;3.68
0.70;62.90;57.00;2818.00;5.66;5.61;3.54
0.70;59.60;57.00;2818.00;5.91;5.83;3.50
0.70;61.80;60.00;2818.00;5.69;5.64;3.50
0.70;62.70;57.00;2818.00;5.68;5.64;3.55
1.00;65.30;62.00;2818.00;6.34;6.12;4.08
0.72;63.80;58.00;2819.00;5.64;5.68;3.61
0.72;62.30;56.00;2819.00;5.73;5.77;3.58
0.70;59.70;63.00;2819.00;5.76;5.79;3.45
0.86;64.30;60.00;2819.00;5.97;5.95;3.83
0.71;62.90;58.00;2820.00;5.66;5.69;3.57
0.75;62.00;57.00;2821.00;5.80;5.78;3.59
0.73;61.60;59.00;2821.00;5.77;5.73;3.54
0.53;61.90;55.00;2821.00;5.20;5.21;3.22
0.73;61.30;58.00;2821.00;5.83;5.76;3.55
0.73;63.60;57.00;2821.00;5.72;5.70;3.63
0.73;59.60;61.00;2821.00;5.92;5.85;3.51
0.73;62.20;59.00;2821.00;5.77;5.68;3.56
