id;host_id;latitude;longitude;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;;;;;;;
7801.00;21207.00;4071842.00;-7395718.00;299.00;3.00;9.00;40905.00;0.07;1.00;0.00;;;;;;;
8024.00;22486.00;4068069.00;-7397706.00;130.00;2.00;130.00;43647.00;1.09;6.00;347.00;;;;;;;
8025.00;22486.00;4067989.00;-7397798.00;80.00;1.00;39.00;43466.00;0.37;6.00;364.00;;;;;;;
8110.00;22486.00;4068001.00;-7397865.00;110.00;2.00;71.00;43648.00;0.61;6.00;304.00;;;;;;;
8490.00;25183.00;4068371.00;-7394028.00;120.00;2.00;88.00;43635.00;0.73;2.00;233.00;;;;;;;
8505.00;25326.00;4065599.00;-7397519.00;60.00;1.00;19.00;43639.00;1.37;2.00;85.00;;;;;;;
8700.00;26394.00;4086754.00;-7392639.00;80.00;4.00;0.00;;;1.00;0.00;;;;;;;
9357.00;30193.00;4076715.00;-7398533.00;150.00;10.00;58.00;42960.00;0.49;1.00;75.00;;;;;;;
9518.00;31374.00;4086482.00;-7392106.00;44.00;3.00;108.00;43631.00;1.11;3.00;311.00;;;;;;;
9657.00;21904.00;407292.00;-7398542.00;180.00;14.00;29.00;43574.00;0.24;1.00;67.00;;;;;;;
9668.00;32294.00;4082245.00;-7395104.00;50.00;3.00;242.00;43617.00;2.04;3.00;355.00;;;;;;;
9704.00;32045.00;4081305.00;-7395466.00;52.00;2.00;88.00;43630.00;1.42;1.00;255.00;;;;;;;
9782.00;32169.00;4072219.00;-7393762.00;55.00;4.00;197.00;43631.00;1.65;3.00;284.00;;;;;;;
9783.00;32294.00;408213.00;-7395318.00;50.00;3.00;273.00;43647.00;2.37;3.00;359.00;;;;;;;
10452.00;35935.00;406831.00;-7395473.00;70.00;1.00;74.00;43597.00;0.66;2.00;269.00;;;;;;;
10962.00;;;;;;;;;;;;;;;;;
11452.00;7355.00;4068876.00;-7394312.00;35.00;60.00;0.00;;;1.00;365.00;;;;;;;
11708.00;44145.00;4070186.00;-7392745.00;85.00;2.00;231.00;43638.00;1.96;2.00;22.00;;;;;;;
11943.00;45445.00;4063702.00;-7396327.00;150.00;1.00;0.00;;;1.00;365.00;;;;;;;
12048.00;7549.00;4071401.00;-7398917.00;40.00;1.00;214.00;43651.00;1.81;4.00;188.00;;;;;;;
12192.00;46978.00;407229.00;-7398199.00;68.00;2.00;245.00;43637.00;2.08;2.00;96.00;;;;;;;
12299.00;47610.00;4066278.00;-7397966.00;120.00;3.00;15.00;43612.00;0.39;1.00;345.00;;;;;;;
12303.00;47618.00;4069673.00;-7397584.00;120.00;7.00;25.00;43373.00;0.23;1.00;311.00;;;;;;;
12318.00;16800.00;4079009.00;-7397927.00;135.00;4.00;81.00;43632.00;0.69;1.00;273.00;;;;;;;
12343.00;47727.00;4081175.00;-7394478.00;150.00;7.00;97.00;43629.00;0.84;1.00;309.00;;;;;;;
12627.00;49670.00;4065944.00;-7396238.00;150.00;29.00;11.00;43621.00;0.49;1.00;95.00;;;;;;;
12937.00;50124.00;4074771.00;-739474.00;130.00;3.00;248.00;43647.00;2.25;1.00;215.00;;;;;;;
12940.00;50148.00;4068111.00;-7395591.00;110.00;7.00;61.00;43610.00;0.52;1.00;265.00;;;;;;;
13050.00;50846.00;4068554.00;-739409.00;115.00;3.00;11.00;42736.00;0.10;1.00;0.00;;;;;;;
13394.00;52335.00;4069142.00;-7397376.00;80.00;3.00;135.00;43633.00;1.16;2.00;192.00;;;;;;;
13808.00;54275.00;4068043.00;-7393934.00;80.00;1.00;112.00;43632.00;1.01;3.00;251.00;;;;;;;
14287.00;56094.00;4078635.00;-7397008.00;151.00;2.00;73.00;43653.00;0.63;1.00;302.00;;;;;;;
14290.00;56104.00;407042.00;-739356.00;228.00;3.00;82.00;43602.00;0.70;1.00;140.00;;;;;;;
14314.00;56246.00;4073506.00;-7395392.00;144.00;2.00;328.00;43645.00;2.82;1.00;234.00;;;;;;;
14322.00;56284.00;4073961.00;-7398074.00;200.00;7.00;19.00;43549.00;0.22;1.00;257.00;;;;;;;
14377.00;56512.00;4070881.00;-739593.00;150.00;30.00;105.00;43638.00;0.90;1.00;30.00;;;;;;;
14991.00;59023.00;4072004.00;-7399104.00;110.00;5.00;19.00;43603.00;0.17;1.00;301.00;;;;;;;
15220.00;59734.00;4075531.00;-7399293.00;69.00;2.00;289.00;43625.00;2.49;2.00;294.00;;;;;;;
15338.00;32169.00;4072401.00;-7393788.00;49.00;4.00;138.00;43620.00;1.19;3.00;320.00;;;;;;;
15341.00;60049.00;407221.00;-7399775.00;180.00;30.00;21.00;43645.00;0.30;1.00;154.00;;;;;;;
15385.00;60252.00;4071185.00;-7396204.00;80.00;2.00;42.00;43646.00;0.38;1.00;263.00;;;;;;;
15396.00;60278.00;4074623.00;-739953.00;375.00;180.00;5.00;43407.00;0.12;1.00;180.00;;;;;;;
15711.00;61491.00;4077065.00;-7395269.00;250.00;2.00;66.00;43554.00;0.57;2.00;231.00;;;;;;;
16326.00;63588.00;4067811.00;-7396428.00;200.00;30.00;143.00;43491.00;1.33;2.00;297.00;;;;;;;
16338.00;63613.00;40.69;-7396788.00;55.00;7.00;27.00;43008.00;0.23;2.00;292.00;;;;;;;
16421.00;63924.00;4075979.00;-7399119.00;52.00;30.00;191.00;43601.00;1.65;1.00;191.00;;;;;;;
16458.00;64056.00;4067343.00;-7398338.00;225.00;3.00;4.00;43002.00;0.16;1.00;0.00;;;;;;;
16580.00;64442.00;4072649.00;-7397904.00;80.00;1.00;338.00;43647.00;4.72;2.00;72.00;;;;;;;
16595.00;64522.00;4070933.00;-7396792.00;275.00;1.00;148.00;43639.00;1.40;1.00;362.00;;;;;;;
16821.00;4396.00;4072298.00;-7398474.00;99.00;1.00;106.00;43637.00;1.26;2.00;336.00;;;;;;;
16974.00;65837.00;4080164.00;-7393922.00;225.00;4.00;190.00;43639.00;1.64;1.00;215.00;;;;;;;
17037.00;66035.00;4072162.00;-7398008.00;230.00;9.00;49.00;43234.00;0.43;1.00;116.00;;;;;;;
17092.00;66243.00;4076342.00;-7398865.00;51.00;7.00;23.00;43617.00;0.43;1.00;88.00;;;;;;;
17693.00;68428.00;4083139.00;-7394095.00;65.00;2.00;49.00;43634.00;1.60;2.00;336.00;;;;;;;
17747.00;68599.00;4068346.00;-7396374.00;105.00;2.00;105.00;43642.00;0.92;1.00;304.00;;;;;;;
18127.00;69829.00;4072828.00;-7398801.00;190.00;5.00;21.00;43467.00;0.20;1.00;224.00;;;;;;;
18152.00;69942.00;4076865.00;-7395058.00;200.00;1.00;142.00;43652.00;1.50;1.00;322.00;;;;;;;
18198.00;70091.00;4075038.00;-7390334.00;70.00;30.00;25.00;43616.00;0.22;1.00;324.00;;;;;;;
18590.00;71512.00;406932.00;-7397267.00;95.00;3.00;143.00;43632.00;1.28;1.00;132.00;;;;;;;
18728.00;71876.00;4074138.00;-7400197.00;150.00;3.00;167.00;43613.00;1.65;1.00;295.00;;;;;;;
18764.00;72014.00;4071154.00;-7396112.00;145.00;3.00;61.00;43577.00;0.54;4.00;238.00;;;;;;;
19159.00;73051.00;4082915.00;-7395136.00;110.00;31.00;54.00;43547.00;0.49;1.00;209.00;;;;;;;
19169.00;73128.00;4071851.00;-7398892.00;285.00;5.00;70.00;43646.00;0.62;1.00;328.00;;;;;;;
19282.00;73469.00;4065401.00;-7396323.00;130.00;6.00;16.00;43631.00;0.15;1.00;38.00;;;;;;;
19319.00;44263.00;407114.00;-7398794.00;94.00;30.00;94.00;43563.00;0.84;1.00;188.00;;;;;;;
19601.00;74303.00;4069723.00;-7399268.00;800.00;1.00;25.00;42586.00;0.24;1.00;7.00;;;;;;;
19812.00;74857.00;4071833.00;-7395748.00;105.00;3.00;61.00;43321.00;0.53;1.00;272.00;;;;;;;
20299.00;62407.00;4072334.00;-739844.00;60.00;3.00;194.00;43646.00;1.73;1.00;26.00;;;;;;;
20300.00;76627.00;4072912.00;-7398057.00;50.00;1.00;2.00;42414.00;0.05;1.00;0.00;;;;;;;
20611.00;72014.00;4071156.00;-7396218.00;85.00;3.00;174.00;43638.00;1.54;4.00;288.00;;;;;;;
20724.00;961342.00;4070032.00;-739383.00;65.00;4.00;24.00;43611.00;0.28;1.00;317.00;;;;;;;
20734.00;78460.00;4068233.00;-7397261.00;131.00;4.00;166.00;43643.00;3.40;1.00;207.00;;;;;;;
20755.00;51038.00;4068634.00;-73966.00;98.00;7.00;16.00;43616.00;0.20;6.00;185.00;;;;;;;
20853.00;79070.00;4068035.00;-7397162.00;250.00;7.00;21.00;43606.00;0.30;1.00;158.00;;;;;;;
20913.00;79402.00;4070984.00;-7395775.00;100.00;5.00;168.00;43303.00;1.57;1.00;0.00;;;;;;;
21293.00;44145.00;4070093.00;-7392609.00;105.00;3.00;118.00;43634.00;1.05;2.00;9.00;;;;;;;
21456.00;42032.00;4079764.00;-7396177.00;140.00;3.00;81.00;43653.00;0.71;1.00;198.00;;;;;;;
21644.00;82685.00;4082803.00;-7394731.00;89.00;1.00;1.00;43382.00;0.11;1.00;365.00;;;;;;;
21794.00;83257.00;4074008.00;-7400271.00;98.00;30.00;30.00;43586.00;0.27;2.00;364.00;;;;;;;
22911.00;87773.00;4068413.00;-7392357.00;125.00;7.00;139.00;43401.00;1.23;2.00;311.00;;;;;;;
22918.00;32294.00;4082279.00;-7395139.00;60.00;3.00;11.00;43468.00;0.87;3.00;219.00;;;;;;;
23135.00;11481.00;4067967.00;-7400154.00;175.00;2.00;233.00;43640.00;2.09;3.00;342.00;;;;;;;
23501.00;63318.00;4083927.00;-7394281.00;65.00;2.00;68.00;41214.00;0.60;1.00;312.00;;;;;;;
23686.00;93790.00;4073096.00;-7400319.00;500.00;4.00;46.00;43603.00;0.55;2.00;243.00;;;;;;;
24143.00;97219.00;4071332.00;-7394177.00;101.00;3.00;335.00;43614.00;3.02;1.00;152.00;;;;;;;
24285.00;97797.00;4066941.00;-7398109.00;220.00;30.00;88.00;43406.00;0.79;1.00;9.00;;;;;;;
25235.00;87773.00;4068373.00;-7392377.00;125.00;90.00;162.00;43644.00;1.46;2.00;137.00;;;;;;;
25406.00;105538.00;4071459.00;-7394844.00;80.00;30.00;29.00;43246.00;0.40;1.00;222.00;;;;;;;
25696.00;107628.00;408092.00;-7394421.00;100.00;2.00;170.00;43639.00;1.61;1.00;346.00;;;;;;;
26012.00;109589.00;4068157.00;-7398989.00;200.00;30.00;19.00;42811.00;0.20;1.00;208.00;;;;;;;
26362.00;59734.00;4075527.00;-7399291.00;59.00;2.00;334.00;43632.00;3.00;2.00;279.00;;;;;;;
26520.00;51038.00;4068698.00;-7396572.00;125.00;2.00;19.00;43618.00;0.20;6.00;250.00;;;;;;;
26559.00;112793.00;407288.00;-7398192.00;140.00;7.00;12.00;43080.00;0.13;1.00;164.00;;;;;;;
26785.00;42273.00;4066853.00;-7398912.00;120.00;30.00;467.00;43464.00;4.22;2.00;192.00;;;;;;;
26933.00;72062.00;407254.00;-7398157.00;350.00;2.00;7.00;42956.00;0.06;4.00;298.00;;;;;;;
26954.00;115157.00;4074294.00;-7398009.00;199.00;5.00;38.00;42340.00;0.38;1.00;260.00;;;;;;;
26969.00;115307.00;4071942.00;-7395748.00;325.00;3.00;324.00;43639.00;3.01;1.00;107.00;;;;;;;
27006.00;115560.00;4077823.00;-7397637.00;235.00;6.00;27.00;43582.00;0.27;1.00;199.00;;;;;;;
27385.00;72062.00;4072555.00;-7397965.00;225.00;1.00;115.00;43623.00;1.05;4.00;299.00;;;;;;;
27531.00;118971.00;4066831.00;-7398604.00;99.00;2.00;354.00;43605.00;3.20;3.00;20.00;;;;;;;
27644.00;119510.00;4082754.00;-7394919.00;170.00;2.00;195.00;43647.00;2.03;1.00;318.00;;;;;;;
27659.00;119588.00;4066499.00;-7397925.00;400.00;2.00;16.00;43464.00;0.24;2.00;216.00;;;;;;;
27759.00;119900.00;4077842.00;-7397556.00;170.00;7.00;13.00;43642.00;0.12;1.00;224.00;;;;;;;
27883.00;120223.00;4072245.00;-7398527.00;100.00;4.00;25.00;40887.00;0.23;1.00;0.00;;;;;;;
28321.00;65091.00;4065593.00;-7396053.00;75.00;2.00;9.00;43378.00;0.08;1.00;324.00;;;;;;;
28396.00;6197784.00;4071923.00;-7396468.00;90.00;1.00;9.00;40804.00;0.08;1.00;245.00;;;;;;;
28907.00;124352.00;40778.00;-7394822.00;150.00;5.00;21.00;42962.00;0.19;1.00;189.00;;;;;;;
29012.00;124797.00;4085879.00;-7393128.00;85.00;15.00;36.00;42964.00;0.33;1.00;307.00;;;;;;;
29013.00;35935.00;4068332.00;-739547.00;70.00;3.00;63.00;43599.00;0.58;2.00;310.00;;;;;;;
29455.00;126607.00;4081618.00;-7394894.00;120.00;3.00;155.00;43636.00;1.42;3.00;213.00;;;;;;;
29628.00;127608.00;4068414.00;-7396351.00;89.00;3.00;260.00;43649.00;2.35;1.00;278.00;;;;;;;
29683.00;125857.00;4072392.00;-7399143.00;185.00;5.00;73.00;43641.00;0.66;1.00;209.00;;;;;;;
30031.00;129352.00;4073494.00;-739503.00;50.00;3.00;193.00;43605.00;1.86;1.00;0.00;;;;;;;
30927.00;120335.00;4071341.00;-7398856.00;105.00;3.00;32.00;43630.00;0.29;1.00;16.00;;;;;;;
31130.00;117287.00;4076754.00;-7398399.00;130.00;2.00;50.00;43611.00;0.45;3.00;234.00;;;;;;;
31555.00;135619.00;4073442.00;-7400303.00;115.00;29.00;26.00;43647.00;0.25;1.00;12.00;;;;;;;
31902.00;137292.00;4063188.00;-7393248.00;77.00;2.00;2.00;43466.00;0.02;1.00;178.00;;;;;;;
31994.00;137814.00;406873.00;-739634.00;76.00;2.00;426.00;43640.00;3.89;3.00;275.00;;;;;;;
32023.00;137974.00;4068296.00;-7393662.00;125.00;3.00;227.00;43639.00;2.09;2.00;163.00;;;;;;;
32037.00;116599.00;406863.00;-7396765.00;135.00;4.00;84.00;43647.00;0.77;3.00;365.00;;;;;;;
32100.00;138579.00;4073409.00;-7395348.00;250.00;29.00;3.00;42946.00;0.03;1.00;34.00;;;;;;;
32289.00;139612.00;4071561.00;-7394835.00;199.00;3.00;10.00;43262.00;0.10;1.00;280.00;;;;;;;
32331.00;139874.00;406857.00;-7399183.00;140.00;2.00;4.00;42484.00;0.04;1.00;0.00;;;;;;;
32363.00;140025.00;4074028.00;-7383168.00;140.00;2.00;1.00;40805.00;0.01;1.00;1.00;;;;;;;
32965.00;137974.00;4068281.00;-7393524.00;115.00;3.00;124.00;43636.00;1.72;2.00;170.00;;;;;;;
32969.00;142833.00;4071596.00;-7393938.00;160.00;3.00;11.00;43648.00;0.11;1.00;188.00;;;;;;;
33009.00;143027.00;4071492.00;-7395935.00;195.00;4.00;240.00;43633.00;2.19;1.00;214.00;;;;;;;
33014.00;143048.00;4072354.00;-7398295.00;195.00;3.00;30.00;43633.00;0.28;1.00;248.00;;;;;;;
33223.00;72014.00;4071165.00;-7396087.00;80.00;3.00;200.00;43638.00;1.86;4.00;262.00;;;;;;;
34760.00;149929.00;4069101.00;-7397312.00;44.00;8.00;27.00;43645.00;1.05;5.00;280.00;;;;;;;
35526.00;120291.00;4073474.00;-7400101.00;156.00;4.00;79.00;43638.00;0.74;1.00;307.00;;;;;;;
36121.00;62165.00;4067386.00;-7396641.00;85.00;15.00;9.00;41404.00;0.09;1.00;339.00;;;;;;;
36133.00;142684.00;4071536.00;-7396057.00;125.00;3.00;155.00;43629.00;1.61;1.00;1.00;;;;;;;
36442.00;137432.00;406741.00;-7396595.00;115.00;15.00;4.00;43339.00;0.05;1.00;269.00;;;;;;;
36647.00;157798.00;4079295.00;-7393997.00;69.00;2.00;34.00;42884.00;0.32;1.00;10.00;;;;;;;
36703.00;158284.00;4073226.00;-7400401.00;225.00;45.00;134.00;43555.00;1.24;1.00;312.00;;;;;;;
36934.00;159370.00;4071363.00;-7396398.00;125.00;6.00;27.00;43461.00;0.25;1.00;189.00;;;;;;;
38638.00;92788.00;4077711.00;-739527.00;219.00;4.00;126.00;43642.00;1.16;2.00;290.00;;;;;;;
38663.00;165789.00;4068559.00;-7398094.00;475.00;3.00;23.00;43465.00;0.27;1.00;230.00;;;;;;;
39267.00;168417.00;4077456.00;-7395323.00;99.00;1.00;234.00;43624.00;2.60;2.00;164.00;;;;;;;
39282.00;168525.00;4071088.00;-7395055.00;69.00;4.00;202.00;43613.00;1.86;2.00;53.00;;;;;;;
39593.00;110506.00;4074559.00;-7392313.00;79.00;30.00;28.00;43567.00;0.26;1.00;126.00;;;;;;;
39704.00;170510.00;4068306.00;-7394659.00;135.00;2.00;309.00;43638.00;2.86;2.00;3.00;;;;;;;
40039.00;171851.00;4070207.00;-7398571.00;250.00;3.00;14.00;40658.00;0.13;1.00;189.00;;;;;;;
40453.00;174025.00;4076123.00;-739642.00;250.00;3.00;4.00;42636.00;0.08;1.00;365.00;;;;;;;
41348.00;180083.00;4066858.00;-7399083.00;250.00;2.00;80.00;43652.00;2.17;1.00;0.00;;;;;;;
41513.00;181167.00;4082704.00;-7394907.00;80.00;3.00;2.00;42310.00;0.04;1.00;0.00;;;;;;;
42580.00;137814.00;4068843.00;-7396408.00;70.00;2.00;294.00;43640.00;3.47;3.00;336.00;;;;;;;
42729.00;11481.00;406783.00;-7400135.00;165.00;2.00;150.00;43634.00;1.40;3.00;342.00;;;;;;;
42882.00;185978.00;4064524.00;-7408088.00;70.00;2.00;166.00;43629.00;1.66;1.00;312.00;;;;;;;
43957.00;177536.00;4070641.00;-7391765.00;50.00;2.00;47.00;43635.00;0.94;1.00;37.00;;;;;;;
44096.00;190409.00;4083232.00;-7393184.00;40.00;1.00;219.00;43650.00;2.04;3.00;353.00;;;;;;;
44161.00;193360.00;4071045.00;-739677.00;150.00;2.00;193.00;42557.00;1.78;1.00;177.00;;;;;;;
44212.00;72062.00;4072518.00;-7398034.00;125.00;1.00;84.00;43639.00;0.78;4.00;310.00;;;;;;;
44221.00;193722.00;4070666.00;-7401374.00;196.00;3.00;114.00;43636.00;1.06;1.00;0.00;;;;;;;
44229.00;181376.00;4069098.00;-7397113.00;110.00;2.00;213.00;43640.00;2.00;2.00;321.00;;;;;;;
44288.00;193637.00;4073756.00;-7400405.00;170.00;3.00;86.00;43617.00;0.80;1.00;246.00;;;;;;;
44506.00;126607.00;4081526.00;-7394791.00;165.00;3.00;80.00;43611.00;0.75;3.00;231.00;;;;;;;
45393.00;201297.00;4073423.00;-740046.00;150.00;26.00;38.00;42480.00;0.36;1.00;225.00;;;;;;;
45542.00;202249.00;4082374.00;-739373.00;100.00;2.00;18.00;43451.00;1.79;1.00;0.00;;;;;;;
45556.00;67778.00;4068863.00;-7397691.00;65.00;2.00;206.00;43646.00;1.92;2.00;0.00;;;;;;;
45910.00;204539.00;4070382.00;-7389797.00;350.00;8.00;10.00;43597.00;0.11;5.00;365.00;;;;;;;
45936.00;867225.00;4080549.00;-7395924.00;99.00;4.00;122.00;43599.00;1.18;2.00;233.00;;;;;;;
45940.00;204724.00;4071627.00;-739587.00;200.00;4.00;33.00;43563.00;0.58;1.00;1.00;;;;;;;
46544.00;8198.00;4067994.00;-7397863.00;150.00;5.00;52.00;43621.00;0.50;1.00;18.00;;;;;;;
46723.00;209460.00;4067992.00;-739475.00;90.00;3.00;126.00;43604.00;1.17;4.00;343.00;;;;;;;
46911.00;210746.00;4067868.00;-7397307.00;120.00;3.00;51.00;43640.00;0.48;3.00;250.00;;;;;;;
47199.00;212722.00;4076834.00;-7395334.00;75.00;3.00;199.00;43640.00;1.85;1.00;326.00;;;;;;;
47362.00;214148.00;4068237.00;-739415.00;175.00;26.00;30.00;41155.00;0.29;1.00;364.00;;;;;;;
47370.00;214287.00;4074031.00;-7399999.00;125.00;3.00;3.00;42202.00;0.03;1.00;0.00;;;;;;;
47926.00;218404.00;4076307.00;-7399665.00;275.00;1.00;41.00;43642.00;0.38;1.00;299.00;;;;;;;
48719.00;221873.00;4071882.00;-7398852.00;299.00;2.00;109.00;43631.00;1.04;1.00;207.00;;;;;;;
50447.00;;;;;;;;;;;;;;;;;
51438.00;236421.00;4077333.00;-7395199.00;130.00;14.00;0.00;;;2.00;0.00;;;;;;;
51485.00;236655.00;4072319.00;-7399201.00;83.00;1.00;285.00;43638.00;2.69;1.00;7.00;;;;;;;
51572.00;237329.00;4074859.00;-7399671.00;123.00;1.00;375.00;43634.00;3.52;1.00;328.00;;;;;;;
51850.00;27848.00;4067252.00;-7376597.00;55.00;2.00;52.00;43605.00;0.49;2.00;365.00;;;;;;;
53137.00;240360.00;4076244.00;-7399271.00;195.00;5.00;10.00;43647.00;1.01;1.00;0.00;;;;;;;
53196.00;247432.00;4069546.00;-7393503.00;80.00;2.00;11.00;43052.00;0.48;1.00;0.00;;;;;;;
53469.00;204539.00;4071722.00;-7387856.00;98.00;30.00;33.00;42133.00;0.31;5.00;240.00;;;;;;;
53470.00;204539.00;4070234.00;-7389816.00;140.00;7.00;6.00;42285.00;0.06;5.00;365.00;;;;;;;
53477.00;204539.00;4071546.00;-7387854.00;265.00;7.00;38.00;43582.00;0.38;5.00;365.00;;;;;;;
54158.00;10889.00;407195.00;-7395976.00;249.00;2.00;358.00;43636.00;3.44;2.00;164.00;;;;;;;
54453.00;255583.00;4076548.00;-7398474.00;105.00;6.00;10.00;41646.00;0.09;1.00;363.00;;;;;;;
54466.00;253385.00;4080234.00;-7395603.00;200.00;30.00;0.00;;;1.00;365.00;;;;;;;
54508.00;210746.00;406787.00;-7397262.00;100.00;2.00;226.00;43622.00;2.12;3.00;250.00;;;;;;;
54544.00;256161.00;4081035.00;-7394598.00;121.00;1.00;104.00;43638.00;1.00;5.00;247.00;;;;;;;
54626.00;190409.00;4083075.00;-7393058.00;45.00;1.00;138.00;43646.00;1.45;3.00;323.00;;;;;;;
54860.00;258164.00;4079958.00;-7394275.00;100.00;5.00;204.00;43639.00;1.92;1.00;192.00;;;;;;;
55467.00;260709.00;4071625.00;-7393845.00;140.00;2.00;253.00;43648.00;3.04;1.00;125.00;;;;;;;
55498.00;262138.00;406829.00;-7393549.00;71.00;2.00;23.00;43647.00;0.22;1.00;91.00;;;;;;;
55668.00;88209.00;4072773.00;-7399134.00;130.00;2.00;115.00;43439.00;1.17;1.00;75.00;;;;;;;
55737.00;263414.00;4072861.00;-740049.00;199.00;5.00;129.00;43604.00;1.22;1.00;286.00;;;;;;;
55959.00;168525.00;4070979.00;-7395162.00;69.00;4.00;82.00;43626.00;1.13;2.00;60.00;;;;;;;
55982.00;264928.00;4068656.00;-7397525.00;68.00;3.00;37.00;43465.00;0.35;1.00;0.00;;;;;;;
56467.00;267593.00;4072752.00;-7398432.00;130.00;1.00;204.00;43647.00;2.04;1.00;192.00;;;;;;;
56525.00;268014.00;40729.00;-7395829.00;195.00;2.00;69.00;43629.00;0.65;1.00;58.00;;;;;;;
56859.00;256161.00;4081219.00;-7394499.00;64.00;1.00;192.00;43619.00;1.84;5.00;245.00;;;;;;;
57166.00;272006.00;4077185.00;-7390502.00;140.00;2.00;17.00;43633.00;0.16;1.00;292.00;;;;;;;
57297.00;199392.00;4068926.00;-7399386.00;159.00;2.00;222.00;43640.00;2.12;1.00;279.00;;;;;;;
57468.00;239208.00;4072821.00;-7398701.00;189.00;3.00;205.00;43639.00;1.96;1.00;0.00;;;;;;;
57618.00;274557.00;407672.00;-7398508.00;250.00;3.00;94.00;43625.00;0.96;1.00;3.00;;;;;;;
57740.00;275459.00;4073012.00;-7399053.00;239.00;3.00;7.00;43609.00;0.07;1.00;351.00;;;;;;;
57754.00;275578.00;407403.00;-7398498.00;305.00;2.00;108.00;43646.00;1.09;1.00;201.00;;;;;;;
57874.00;276291.00;4080931.00;-7394343.00;155.00;3.00;222.00;43642.00;2.10;2.00;232.00;;;;;;;
58059.00;277379.00;408251.00;-7394287.00;60.00;1.00;458.00;43649.00;4.58;2.00;258.00;;;;;;;
58062.00;277394.00;406585.00;-7398397.00;135.00;2.00;21.00;43602.00;0.26;1.00;272.00;;;;;;;
58467.00;279797.00;4076193.00;-739501.00;120.00;7.00;17.00;43593.00;0.30;1.00;341.00;;;;;;;
59014.00;282927.00;4072052.00;-7398589.00;150.00;3.00;41.00;43467.00;0.39;1.00;244.00;;;;;;;
59121.00;204539.00;4070411.00;-7389934.00;140.00;14.00;1.00;41169.00;0.01;5.00;365.00;;;;;;;
59642.00;274782.00;4073401.00;-7395967.00;135.00;2.00;69.00;43604.00;0.67;1.00;12.00;;;;;;;
59709.00;186084.00;4071756.00;-7399503.00;250.00;4.00;18.00;43647.00;0.18;2.00;265.00;;;;;;;
59855.00;288031.00;407589.00;-7396991.00;250.00;30.00;82.00;42374.00;0.78;1.00;0.00;;;;;;;
60164.00;289653.00;4072003.00;-7400262.00;500.00;4.00;94.00;43639.00;0.99;1.00;329.00;;;;;;;
60457.00;99212.00;4073194.00;-7399474.00;225.00;5.00;10.00;43596.00;0.10;1.00;91.00;;;;;;;
60611.00;292204.00;4079163.00;-7394573.00;125.00;28.00;183.00;43372.00;1.83;2.00;365.00;;;;;;;
60666.00;256161.00;408118.00;-7394434.00;92.00;1.00;189.00;43627.00;1.82;5.00;253.00;;;;;;;
60673.00;249372.00;4081583.00;-7394707.00;175.00;2.00;1.00;43380.00;0.11;1.00;365.00;;;;;;;
